Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude,Longtitude
Joo Chiat Complex,"1 Joo Chiat Road, S(420001)",\$0.50/30min from 7am to 7pm,\$0.50/30min from 7pm to 10:30pm,Charges same as weekdays,Charges same as weekdays,1.3156809999999999,103.8988707
Junction 8 (Basement Car Park),"9 Bishan Place, S(579837)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm the following day from Mon to Fri & Eve of PH","\$2.57/entry from 6pm to 11.59pm from Mon to Thurs, \$2.57/entry from 6pm to 2.59am the following day on Fri & Eve of PH","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm",1.3505253000000002,103.8486915
Junction 8 (Multi-Storey Car Park),"514 Bishan Street 13, S(570514)",\$0.60/30min from 7am to 9pm,\$0.60/30min from 9pm to 7am the following day,"\$0.60/30min from 7am to 3pm, \$0.60/30min from 3pm to 7am the following day",\$0.60/30min from 7am to 7am the following day,1.3501553,103.8497956
JCube,"2 Jurong East Central 1, S(609731)","\$1.30 for 1st hr, \$0.40 for next subsequent 15min from 3.30am to 5.59pm",\$2.50/entry from 6pm to 3.29am the following day,Charges same as weekdays,Charges same as weekdays,1.3332858,103.7401865
Jurong Point Shopping Centre,"1 Jurong West Central 2, S(648886)","\$1.07 for 1st 2hr, \$1.07 for next subsequent hr from 7am to 5pm","\$2.14 for 1st 2hr, \$1.07 for next subsequent hr from 5pm to 9pm, \$1.07 for 1st 3hr, \$1.07 for next subsequent hr from 9pm to 7am the following day","\$2.14 for 1st 2hr, \$1.07 for next subsequent hr from 7am to 9pm, \$1.07 for 1st 3hr, \$1.07 for next subsequent hr from 9pm to 7am the following day","\$2.14 for 1st 2hr, \$1.07 for next subsequent hr from 7am to 9pm, \$1.07 for 1st 3hr, \$1.07 for next subsequent hr from 9pm to 7am the following day",1.3393411,103.7053874
KK Women's and Children's Hospital ,"100 Bukit Timah Road, S(229899)",\$0.047/min from 6am to 6pm,\$2.40/entry from 6pm to 6am the following day,\$2.40/entry from 6am to 12midnight,\$2.40/entry from 6am to 12midnight,1.310615,103.84683559999999
112 Katong,"112 East Coast Road, S(428802)","(6am-9.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min, (10am-5.59pm) \$1.07 for 1st hr, \$0.27 for subsequent 15min","(6pm-10.59pm) \$1.28 for 1st 30min, \$0.65 for subsequent 15min, (11pm-5.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min","(6am-9.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min (10am-10.59pm) \$1.28 for 1st 30min, \$0.65 for subsequent 15min (11pm-5.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min","(6am-9.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min (10am-10.59pm) \$1.28 for 1st 30min, \$0.65 for subsequent 15min (11pm-5.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min",1.3051592,103.9050673
Katong Plaza,"1 Brooke Road, S(429979)","\$1.50 for 1st hr, \$0.80 for next subsequent 30min from 6am to 6pm","\$1.00 for 1st hr, \$0.50 for next subsequent 30min from 6pm to 6am the following day",Charges same as weekdays,Charges same as weekdays,1.3042056999999998,103.9038636
Katong Shopping Centre,"865 Mountbatten Road, S(437844)",\$1.45/hr from 7.01am to 6pm,\$2.50/entry from 6.01pm to 7am the following day,Charges same as weekdays,\$2.50/entry from 7.01am to 7am the following day,1.3039094999999998,103.90117509999999
Enterprise One,"1 Kaki Bukit Road 1, S(415934)","30min free, \$0.70 for next subsequent 30min","30min free, \$0.70 for next subsequent 30min",Charges same as weekdays,Charges same as weekdays,1.3335939,103.90250879999999
Keppel Towers,"10 Hoe Chiang Road, S(089315)",\$3.00/hr from 8am to 5pm,\$3.00/hr from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,1.2743052,103.8420655
Keypoint,"371 Beach Road, S(199597)",Carpark closed,Carpark closed,Carpark closed,Carpark closed,1.302363,103.8624183
Kwong Wai Shui Hospital,"705 Serangoon Road, S(328127)",Free Parking,Free Parking,Free Parking,Free Parking,1.317285,103.85932690000001
Concorde Hotel Singapore,"100 Orchard Road, S(238840)","\$2.14 for 1st hr, \$1.39 for next subsequent 30min from 7am to 6pm",\$3.75/entry from 6pm to 7am the following day,Charges same as weekdays,\$3.75/entry from 7am to 7am the following day,1.300784,103.84234090000001
