Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude,Longtitude
Parkway East Hospital,"321 Joo Chiat Place, S(427990)","\$2.80 for 1st hr, \$1.40 for next subsequent 30min from 8am to 5pm","\$2.80 for 1st hr, \$1.40 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,1.3151883999999998,103.90902740000001
Eastgate ,"46 East Coast Road, S(428766)","\$1.20 for 1st hr, \$1.00 for next subsequent 30min from 8am to 6pm",\$2.50/entry from 6pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,1.3043753999999999,103.9033514
Eastpoint Mall,"3 Simei Street 6, S(528833)","\$1.20 for 1st hr, \$0.30 for next subsequent 15min from 7am to 5pm","\$1.20 for 1st hr, \$0.30 for next subsequent 15min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.3427285,103.9530112
Elias Mall,"625 Elias Road, S(510625)",\$0.60/30min from 8am to 5pm,\$1.10/entry from 5pm to 8am the following day,Charges same as weekdays,\$1.10/entry from 8am to 8am the following day,1.3785415,103.94195429999999
Elizabeth Hotel,"24 Mount Elizabeth, S(228518)","\$4.00 for 1st hr, \$2,00 for next subsequent 30min from 7am to 6pm",\$5.00/entry from 6pm to 7am the following day,Charges same as weekdays,\$5.00/entry from 7am to 7am the following day,1.307903,103.83551
Eminent Plaza,"195 Lavender Street, S(338758)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use,1.3132513,103.86024350000001
Eng Cheong Tower,"5611 North Bridge Road, S(198782)",Season Parking Only,Season Parking Only,Season Parking Only,Season Parking Only,1.3061798999999998,103.86398100000001
Environment Building,"40 Scotts Road, S(228231)",Private Car Park,Private Car Park,Private Car Park,Private Car Park,1.3105921,103.83626629999999
Esplanade Mall,"8 Raffles Avenue, S(039802)",\$2.20/hr from 6am to 6pm everyday inclusive of Public Holidays,"\$6.50/entry from 6pm to 10pm, \$2.20/entry from 10pm to 6am the following day everyday inclusive of Public Holidays",Charges same as Weekdays,Charges same as Weekdays,1.2897274,103.8562673
Euro-Asia Centre,"15 Hoe Chiang Road, S(089316)","\$2.20 for 1st hr, \$1.10 for next subsequent 30min from 8am to 5pm",\$2.00/entry from 5pm to 8am the following day,\$2.00/entry from 8am to 1pm only,\$2.00/entry from 8am to 1pm only,1.2738039,103.8421553
Far East Plaza,"14 Scotts Road, S(228213)",\$1.07/30min from 8am to 5pm,\$3.53/entry from 5pm to 8am the following day,Charges same as weekdays,\$3.53/entry from 8am to 8am the following day,1.3071502000000002,103.8337132
Far East Shopping Centre,"545 Orchard Road, S(238882)","\$2.40 for 1st hr, \$1.20 for next subsequent 30min from 8am to 6pm","\$3.50/entry from 6pm to 12midnight, \$5.00/entry from 12midnight to 8am the following day",Charges same as weekdays,"\$4.50/entry from 8am to 12midnight, \$5.00/entry from 12midnight to 8am the following day",1.3055172,103.8299217
Far East Square,"42 Pekin Street, S(048772)",\$2.14/30min from 6am to 4.59pm,\$3.21/entry from 5pm to 5.59am the following day,\$3.21/entry from 6am to 6am the following day,\$3.21/entry from 6am to 6am the following day,1.2831469,103.8488132
Far Eastern Bank Building,"156 Cecil Street, S(069544)",\$2.50/30min from 7am to 6pm,\$3.20/entry from 6.30pm to 7am,"\$2.50/30min from 7am to 1pm, \$3.20/entry from 1pm to 7am",Closed,1.2799539,103.8481934
First Commercial Bank,"76 Shenton Way, S(079119)","\$2.00 for 1st hr, \$1.00 for next subsequent 30min from 8am to 5pm","\$2.00 for 1st hr, \$1.00 for next subsequent 30min from 5pm to 8am the following day","Charges same as weekdays, Car Park closes at 2pm",Closed,1.273423,103.8455344
Fortune Centre,"190 Middle Road, S(188979)",\$3.22/hr from 7am to 5pm,\$3.21/entry from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,1.300376,103.852234
Forum The Shopping Mall,"583 Orchard Road, S(238884)","\$2.40 for 1st hr, \$1.20 for subsequent 30min from 6am to 5pm",\$3.20/entry from 5pm to 6am the following day,"\$2.60 for 1st hr, \$1.40 for subsequent 30min from 6am to 5pm, \$3.20/entry from 5pm to 6am the following day",\$3.20/entry from 6am to 6am the following day,1.3060889,103.82869620000001
Four Seasons Hotel,"190 Orchard Boulevard, S(248646)","\$6.00 for 1st hr, \$3.00 for next subsequent 30min from 6am to 6pm",\$6.00/entry from 6pm to 6am the following day,Charges same as weekdays,Charges same as weekdays,1.3052671999999998,103.82866829999999
Fu Lu Shou Complex,"149 Rochor Road, S(188425)",\$1.20/30min from 8am to 5pm,\$2.20/entry from 5pm to 11pm,Charges same as weekdays,Charges same as weekdays,1.3014678,103.8544724
Fuji Xerox Towers,"80 Anson Road, S(079907)",\$2.20/30min from 7am to 6pm,\$3.50/entry from 6pm to 11pm,\$3.50/entry from 7am to 11pm,\$3.50/entry from 7am to 11pm,1.2732056,103.843637
Funan DigitaLife Mall,"109 North Bridge Road, S(179097)",Carpark closed,Carpark closed,Carpark closed,Carpark closed,1.2914065000000001,103.8500426
Furama City Centre Singapore,"60 Eu Tong Sen Street, S(059804)",\$1.70/30min from 5.59am to 6pm,\$3.21/entry from 6pm to 5.59am the following day,Charges same as weekdays,\$3.21/entry from 5.59am to 6am the following day,1.286551,103.84461800000001
Gateway @ 150 Beach Rd,"150 Beach Road, S(189720)",\$2.80/hr from 7am to 6pm,\$2.10/entry from 6pm to 7am the following day,"\$2.80/hr from 7am to 1pm, \$2.10/entry from 1pm to 7am the following day",\$2.10/entry from 7am to 7am the following day,1.2984391000000002,103.85880350000001
West Coast Plaza,"154 West Coast Road, S(127371)","\$1.34/hr, \$1.00 for subsequent 30min from 7am to 5pm","\$1.34/hr, \$1.00 for subsequent 30min from 5pm to 7am the following day","\$1.61/hr, \$1.00 for subsequent 30min from 7am to 7am the following day","\$1.61/hr, \$1.00 for subsequent 30min from 7am to 7am the following day",1.3038431000000001,103.7662917
Gleneagles Hospital,"6A Napier Road, S(258500)","\$2.00 for the 1st 30min, \$0.80 for next subsequent 15min from 7am to 5pm","\$2.00 for the 1st 30min, \$0.80 for next subsequent 15min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.3075821,103.81992640000001
Goldbell Towers,"47 Scotts Road, S(228233)","\$4.00 for 1st hr, \$2.00 for next subsequent 30min from 8am to 5pm",\$5.00/entry from 5pm to 8am the following day,"\$4.00 fro 1st hr, \$2.00 for next subsequent 30min from 8am to 1pm, \$5.00/entry from 1pm to 8am the following day",\$5.00/entry from 8am to 8am the following day,1.312213,103.83718
Landmark Village Hotel,"390 Victoria Street, S(188061)","\$1.90 for 1st hr, \$1.07 for next subsequent 30min from 8am to 5pm",\$2.14/entry from 5pm to 8am the following day,Charges same as weekdays,\$2.14/entry from 8am to 8am the following day,1.3020357,103.857782
Golden Mile Complex,"5001 Beach Road, S(199588)","\$2.20 for 1st hr, \$1.10 for next subsequent 30min from 7.01am to 6pm",\$2.90/entry from 6.01pm to 7am the following day,Charges same as weekdays,\$2.90/entry from 7.01am to 7am the following day,1.3027906,103.86537729999999
Golden Shoe Complex,"50 Market Street, S(048940)",\$5.20/hr from 7am to 5pm,\$3.30/entry from 5pm to 7am the following day,"\$5.20/hr from 7am to 1pm, \$3.30/entry from 1pm to 7am the following day",\$3.30/entry from 7am to 7am the following day,1.284342,103.85011899999999
Goldhill Plaza,"1 Goldhill Plaza, S(308899)","\$1.60 for 1st hr, \$1.00 for next subsequent 30min from 7am to 5.30pm",\$2.00/entry from 5.30pm to 12midnight the following day,"\$1.00/hr from 7am to 5.30pm, \$2.00/entry from 5.30pm to 7am the following day","\$1.00/hr from 7am to 5.30pm, \$2.00/entry from 5.30pm to 7am the following day",1.3181533,103.8428522
Goodwood Park Hotel,"22 Scotts Road, S(228221)","\$5.35 for 1st hr, \$2.50 for next subsequent 30min from 8am to 6pm",\$5.35/entry from 6pm to 8am the following day,Charges same as weekdays,\$6.42/entry from 8am to 7.59am the following day,1.3087182,103.83444140000002
Bright Vision Hospital,"5 Lorong Napiri, S(547530)",Free Parking,Free Parking,Free Parking,Free Parking,1.3715565,103.8777937
Bukit Panjang Plaza,"1 Jelebu Road, S(677743)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min or part thereof from 12midnight to 5.59pm",\$2.57/entry from 6pm to 11.59pm,"\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min or part thereof from 12midnight to 6pm, \$2.57/entry from 6pm to 11.59pm","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min or part thereof from 12midnight to 6pm, \$2.57/entry from 6pm to 11.59pm",1.3800277,103.7643646
Bukit Timah Plaza (Multi-Storey Car Park),"1 Jalan Anak Bukit, S(588996)",\$1.40/hr from 7.30am to 5pm,\$2.40/entry from 5.01pm to 7.30am the following day,Charges same as weekdays,"\$2.40 for the 1st 3hr, \$1,40 for the next subsequent hr from 7.30am to 7.30am the following day",1.3386026000000002,103.7785976
Bukit Timah Shopping Centre,"170 Upper Bukit Timah Road, S(588179)",\$1.50/hr from 7am to 7pm,\$2.80/entry from 7pm to 7am the following day,Charges same as weekdays,\$3.00/entry from 7am to 7am the following day,1.3431856000000002,103.7761252
Burlington Square,"175 Bencoolen Street, S(189649)",\$0.04/min from 7am to 4.49pm,\$2.20/entry from 5pm to 6.59am the following day,"\$3.20 for 1st 3hrs, \$1.80 for next subsequent 30min from 7am to 4.59pm, \$2.20/entry from 5pm to 6.59am the following day","\$3.20 for 1st 3hrs, \$1.80 for next subsequent 30min from 7am to 4.59pm, \$2.20/entry from 5pm to 6.59am the following day",1.3021863999999999,103.8526703
Cairnhill Art Centre,"126 Cairnhill Road, S(229707)",HDB parking rates from 8am to 6pm,"Free parking at night, Sunday and PH",Charges same as weekdays,Free Parking,1.3079889999999998,103.83752700000001
Cairnhill Place,"15 Cairnhill Road, S(229650)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use,1.3036940000000001,103.836831
Capital Square,"23 Church Street, S(049481)",\$2.40/30min from 8am to 6pm,\$3.20/entry from 6pm to 8am,\$3.20/entry from 8am to 8am the following day,\$3.20/entry from 8am to 8am the following day,1.2839173000000002,103.848842
Capital Tower,"168 Robinson Road, S(068912)",\$2.80/30min from 7am to 5.59pm,\$3.70/entry from 6pm to 6.59am the following day,"\$2.80/30min from 7am to 12.59pm, \$3.70/entry from 1pm to 6.59am the following day",\$3.70/entry from 7am to 6.59am the following day,1.2777366000000001,103.8476215
Capitol Centre,"141 North Bridge Road, S(179099)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use,1.292875,103.851386
CapitaCommercial Trust (CCT),"39 Robinson Road, S(068911)",\$2.05/30min from 8am to 5pm,\$3.10/entry from 5pm to 8am the following day,"Charges same as weekdays, \$3.10/entry after 1pm",\$3.10/entry,1.2796201,103.8494984
Carlton Hotel,"76 Bras Basah Road, S(189558)","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 6pm",\$6.00/entry from 6pm to 7am the following day on Mon to Sat and eve of PH,Charges same as weekdays,Charges same as weekdays,1.2961790000000002,103.85261750000001
Causeway Point,"1 Woodlands Square, S(738099)","\$1.20 for 1st hr, \$0.60 for next subsequent 30min from 7am to 7am the following day","\$1.20 for 1st hr, \$0.60 for next subsequent 30min from 7am to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.436078,103.7860612
Central Mall,"1 & 3 Magazine Road, S(059567)","\$2.40 for 1st hr, \$1.20 for next subsequent 30min from 7am to 5pm",\$3.60/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.60/entry from 7am to 7am the following day,1.2924739,103.8565218
The Centrepoint,"176 Orchard Road, S(238843)","\$1.50 for 1st hr, \$1.00 for next subsequent 30min from 7am to 5pm","\$1.50 for 1st hr, \$1.00 for next subsequent hr from 5pm to 7am the following day",Charges same as weekdays,"\$1.50 for 1st hr, \$1.00 for next subsequent hr from 7am to 7am the following day",1.3019594,103.8398305
Orchard Building,"1 Grange Road, S(239693)","\$2.20 for 1st hr, \$1.20 for next subsequent 30min from 6.30am to 6pm",\$4.00/entry from 6pm to 1am the following day,Charges same as weekdays,"\$3.60 for 1st 3hr, \$1.20 for next subsequent 30min, \$4.00/entry from 6pm to 1am the following day",1.3013914,103.837259
Century Square,"2 Tampines Central 5, S(529509)","\$1.07 for 1st hr, \$0.32 for next subsequent 15min from 3.01am to 6pm",\$2.14/entry from 6.01pm to 3am the following day,"\$0.32/15min from 3.01am to 6pm, \$2.14/entry from 6.01pm to 3am the following day","\$0.32/15min from 3.01am to 6pm, \$2.14/entry from 6.01pm to 3am the following day",1.3523388,103.9438775
Changi Airport Terminal 1,"1 Airport Boulevard, S(819642)",\$0.04/min from 12midnight to 12midnight the following day,\$0.04/min from 12midnight to 12midnight the following day,Charges same as weekdays,Charges same as weekdays,1.3422816,103.9823566
Changi Hospital (CGH),"2 Simei Street 3, S(529889)","\$1.28 for 1st hr, \$0.03/min for next subsequent min from 7am to 5pm","\$1.28 for 1st hr, \$0.03/min for next subsequent min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.3406241,103.9494707
Changi Village Hotel,"1 Netheravon Road, S(508502)","\$4.00 for 1st hr, \$3,00 for next subsequent hr from 6am to 5pm",\$6.50/entry from 6pm to 5am the following day,"\$4.00 for 1st hr, \$3.00 for next subsequent hr from 6am to 6am the following day","\$4.00 for 1st hr, \$3.00 for next subsequent hr from 6am to 6am the following day",1.3904623999999999,103.9859909
Chijmes (Basement Car Park),"30 Victoria Street, S(187996)","\$0.25/15min from 8am to 10.59am, \$0.55/15min from 11am to 5.59pm",\$2.20/hr from 6.00pm to 7.59am the following day,"\$2.20 for 1st 2hr, \$0.40 for next subsequent 15min from 8am to 5.59pm, 2.20/hr from 6pm to 7.59am the following day","\$2.20 for 1st 2hr, \$0.40 for next subsequent 15min from 8am to 5.59pm, 2.20/hr from 6pm to 7.59am the following day",1.2953653,103.852459
Bras Basah Complex,"231 Bain Street, S(180231)","\$1.20/30min from 7am the 10am, \$1.40/30min from 10am to 10.30pm",\$0.60/30m from 10.30pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,1.2971515,103.8536166
28 Maxwell Rd,"28 Maxwell Road, S(069120)","\$2.60 for 1st hr, \$0.55 for next subsequent 15min from 7am to 4.59pm",\$3.60/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.60/entry from 7am to 7am the following day,1.2782482,103.845625
The Bencoolen,"180 Bencoolen Street, S(189646)",\$1.20/30min from 6am to 5pm,"\$1.20/30min from 5pm to 11pm, \$3.00/entry from 11pm to 6am the following day",Charges same as weekdays,"\$1.20/hr from 6am to 11pm, \$3.00/entry from 11pm to 6am the following day",1.3017646999999999,103.8531752
Beach Centre,"15 Beach Road, S(189677)","\$1.50 for 1st 30min, \$1.20 for next subsequent 30min from 8am to 5pm",\$3.00/entry from 5pm to 8am,Charges same as weekdays,\$3.50/entry from 8am to 8am the following day,1.2958683000000002,103.85553490000001
Bangkok Bank Building,"180 Cecil Street, S(069546)","\$2.00 for 1st 30min, \$4.00 for next subsequent hr from 7am to 7pm","\$2.00 for 1st 30min, \$4.00 for next subsequent hr from 7am to 7pm",Charges same as weekdays but closed after 3pm,Closed,1.2792525,103.84778
Balestier Point,"279 Balestier Road, S(329727)",\$0.70/hr from 8am to 10pm,\$2.00/entry from 10pm to 8am the following day,Charges same as weekdays,\$2.00/entry from 8am to 8am the following day,1.3227520000000001,103.8520236
Balestier Plaza,"400 Balestier Road, S(329802)",\$1.20/hr,\$1.20/hr,Charges same as weekdays,Charges same as weekdays,1.3257389,103.8503795
Automobile Megamart (AML),"61 Ubi Avenue 2, S(408898)",\$1.20/hr from 8am to 6pm,"\$1.50/entry from 6pm to 12midnight the following day, \$10.00/entry from 12midnight to 8am",Charges same as weekdays,Charges same as weekdays,1.3319052999999998,103.9012577
2HR,"2 Havelock Road, S(059763)",\$1.50/30min from 7am to 4.59pm,\$3.00/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.00/entry from 7am to 7am the following day,1.2871382,103.84519240000002
Hub Synergy,"70 Anson Road, S(079905)",\$2.60/hr from 7am to 6pm,\$1.00/hr from 6pm to 12midnight,"\$1.00/30min from 7am to 2pm, \$1.00/hr from 2pm to 12midnight",\$1.00/hr from 7am to 12midnight,1.273992,103.84443809999999
Ang Mo Kio Community Hospital,"17 Ang Mo Kio Avenue 9, S(569766)",\$0.86/30min from 7am to 10pm,\$3.10/entry from 10pm to 7am the following day,Charges same as weekdays,\$3.10/entry from 7am to 7am the following day,1.3841331,103.8403717
Anchorpoint Shopping Centre,"370 Alexandra Road, S(159953)",\$2.00/hr from 8am to 6.59pm,\$3.00/entry from 7pm to 7.59am,Charges same as weekdays,Charges same as weekdays,1.2887273000000001,103.80518
Amtech Building,"157 Sin Ming Road, S(575624)","\$1.00 for 1st hr, \$2.00 for next subsequent 30min from 8am to 5pm",\$2.00/entry from 5pm to 8am the following day,Charges same as weekdays,\$2.00/entry from 8am to 8am the following day,1.3565261999999998,103.83793940000001
Amara Hotel,"165 Tanjong Pagar Road, S(088539)",\$2.00/30min from 8am to 5pm,\$3.00/entry from 5pm to 7.59am the following day,Charges same as weekdays,\$3.00/entry from 8am to 7.59am the following day,1.2750309,103.84355079999999
Allson Hotel,"101 Victoria Street, S(188018)",\$1.50/30min from 7am to 5pm,\$4.00/entry from 5pm to 7am the following day,Charges same as weekdays,\$4.00/entry from 7am to 7am the following day,1.2973981,103.85255759999998
Alexandra Hospital,"378 Alexandra Road, S(159964)",\$1.80/hr from 7am to 10pm,\$1.60/hr from 10pm to 7am the following day,Charges same as weekdays,\$1.68/hr from 7am to 7am the following day,1.286235,103.80082940000001
Albert Court Hotel,"180 Albert Street, S(189971)","\$2.50 for 1st hr, \$1.00 for next subsequent 30min from 8am to 6pm",\$3.50/entry from 6pm to 8am the following day,Charges same as weekdays,\$3.50/entry from 8am to 8am the following day,1.3041967,103.85082840000001
Albert Complex,"60 Albert Street, S(189969)",\$1.20/30min from 7am to 11pm daily,\$1.20/30min from 7am to 11pm daily,Charges same as weekdays,Charges same as weekdays,1.3023696000000002,103.8538787
AIA (Changi),"160 Changi Road, S(419728)",Private Car Park,Private Car Park,Private Car Park,Private Car Park,1.3169921,103.9022547
Adam Road Medical Centre ,"19 Adam Road, S(289891)",Free Parking,Free Parking,Free Parking,Free Parking,1.3267685,103.8133541
888 Plaza,"888 Woodlands Drive 50, S(730888)","\$1.00/hr from 7am to 12pm, Free Parking from 12pm to 2pm, \$1.00/hr from 2pm to 5pm","\$1.00/entry from 5pm to 12midnight, \$2.00/entry from 12midnight to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.4378446000000003,103.7952933
79 Anson Road,"79 Anson Road, S(079906)",\$2.00/30min from 7am to 6pm,\$4.00/entry from 6pm to 7am the following day,"\$2.00/30min from 7am to 1pm, \$4.00/entry from 1pm to 11pm",\$4.00/entry from 7am to 7am the following day,1.2742034,103.8456928
51 Bencoolen Street,"51 Bencoolen Street, S(189630)",\$1.00/30min from 7am to 6pm,\$2.00/entry from 6.01pm to 6.59am the following day,Charges same as weekdays,\$2.00/entry from 7am to 7am the following day,1.2992962,103.8501163
Queensway Shopping Centre,"1 Queensway, S(149053)","\$1.80 for 1st 1hr, \$1.60 for next subsequent 30min from 8am to 5.59pm",\$3.30/entry from 6pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays,1.2876044,103.8033839
Raffles City,"252 North Bridge Road, S(179103)","\$2.20 for 1st hr, \$0.55 for next subsequent 15min from 8am to 5.59pm",\$3.00/entry from 6pm to 7.59am the following day,"\$2.20 for 1st 2hr, \$0.40 for next subsequent 15min from 8am to 7.59am the following day, \$0.60 for next subsequent 15min after the 5th hr","\$2.20 for 1st 2hr, \$0.40 for next subsequent 15min from 8am to 7.59am the following day, \$0.60 for next subsequent 15min after the 5th hr",1.2936428999999998,103.8528375
Raffles Hospital,"585 North Bridge Road, S(188770)","\$2.80 for 1st hr, \$1.70 for next subsequent 30min from 8am to 4.59pm",\$2.40/entry from 5.00pm to 7.59am the following day,"\$2.80 for 1st hr, \$1.70 for next subsequent 30min from 8am to 12.59pm, \$2.40 for 1st 2hr, \$0.24 for next subsequent 10min from 1pm to 7.59am the following day","\$2.40 for 1st 2hr, \$0.24 for next subsequent 10min from 8amm to 7.59am the following day",1.3012188999999998,103.8572533
Raffles Hotel,"1 Beach Road, S(189673)","\$3.00 for 1st 30min, \$1.50 for next subsequent 30min from 12.01am to 6pm",\$6.00/entry from 6.01pm to 12midnight,Charges same as weekdays,\$6.00/entry from 12.01am to 12midnight the following day,1.2951648,103.8542885
Raffles Quay,"1 Raffles Quay, S(048583)",\$1.07/10min from 6am to 6pm,"\$3.21 for 1st 4hr, \$0.27 for next subsequent 10min block or thereof from 6.00pm to 6.00am","\$3.21 for 1st 4hr, \$0.27/hr for next subsequent 10min from 6am to 6am the following day","\$3.21 for 1st 4hr, \$0.27/hr for next subsequent 10min from 6am to 6am the following day",1.281092,103.8520854
ABI Plaza,"11 Keppel Road, S(089057)","\$4.28 for 1st hr, \$2.68 for next subsequent 30min from 8am to 6pm","\$4,28/entry from 6pm to 8am the following day","Charges same as weekdays, \$4.28/entry from 1pm to 8am the following day",\$4.28/entry from 8am to 8am the following day,1.2732168,103.84289559999999
Regency House,"121 Penang Road, S(238464)","\$2.50 for 1st hr, \$1.25 for next subsequent 30min from 8am to 5pm","\$2.50 for 1st hr, \$1.25 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,1.2994556000000002,103.8420178
Regent Hotel (Basement Parking),"1 Cuscaden Road, S(249715)","\$5.00 for 1st hr, \$2.50 for next subsequent 30min from 7am to 6pm",\$6.00/entry from 6pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,1.3046722,103.82483420000001
RELC International Hotel,"30 Orange Grove Road, S(258352)","\$4.00 for 1st hr, \$3.00 for next subsequent 1hr from 7am to 5pm",\$4.50/entry from 5pm to 7am the following day,Charges same as weekdays,\$4.50/entry from 7am to 7am the following day,1.3129399,103.8261179
Ren Ci Long Term Care,"10 Buangkok View, S(539747)",\$2.40/30min from 7am to 6pm,"\$2.40/entry from 6pm to 9pm, \$0.04/min from 9pm to 7am the following day","\$0.04/min from 7am to 1pm, \$2.40/entry from 1pm to 9pm, \$0.04/min from 9pm to 7am the following day","\$2.10/entry from 7am to 9pm, \$0.04/min from 9pm to 7am the following day",1.3821973,103.88472940000001
Republic Plaza,"9 Raffles Place, S(048619)",\$3.00/30min from 7am to 5pm,\$3.50/entry from 5pm to 7am the following day,\$3.50/entry from 7am to 7am the following day,\$3.50/entry from 7am to 7am the following day,1.2832428,103.8508359
NTU RTP Car Park (Research Techno Plaza),"50 Nanyang Avenue, S(639798)","\$0.02/min from 8am to 6pm, maximum charge of \$4.80/day","\$1.20/entry from 6pm to 10pm, Free parking from 10pm to 8am the following day",Free Parking,Free Parking,1.3477484,103.6828574
"The Ritz Carlton, Millenia Singapore","7 Raffles Avenue, S(039799)","\$3.30 for 1st hr, \$1.10 for next subsequent 30min from 7am to 6pm",\$2.20/entry from 6pm to 7am the following day,"\$2.20 for 1st 2hr, \$1.10 for next subsequent hr from 7am to 7am the following day","\$2.20 for 1st 2hr, \$1.10 for next subsequent hr from 7am to 7am the following day",1.2907523,103.8600717
River View Hotel,"382 Havelock Road, S(169629)","\$4.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 6pm",\$4.00/entry from 6pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,1.2893323,103.83665090000001
Robertson Walk,"11 Unity Street, S(237995)","\$1.50 for 1st hr, \$0.50 for next subsequent 30min form 6am to 6pm",\$4.00/entry from 6pm to 6am the following day,Charges same as weekdays,\$4.00/entry from 6am to 6am the following day,1.2919747,103.8414577
Robinson Centre,"61 Robinson Road, S(068893)",\$2.20/30min from 8am to 5pm,\$3.00/entry from 5pm to 8am the following day,"Charges same as weekdays, but \$2.50/entry after 1pm","Charges same as weekdays, but \$2.50/entry after 1pm",1.2792546999999999,103.8492432
Roxy Square,"50 East Coast Road, S(428769)","\$1.30 for 1st hr, \$0.70 for next subsequent 30min from 7am to 6pm",\$2.50/entry from 6pm to 12midnight,Charges same as weekdays,Charges same as weekdays,1.3039693,103.90426590000001
Royal Hotel,"36 Newton Road, S(307964)",\$1.71/hr from 6am to 6pm,\$3.21/entry after 6pm,Charges same as weekdays,Charges same as weekdays,1.3168094,103.8418298
Royal Plaza on Scotts,"25 Scotts Road, S(228220)","\$4.00 for 1st hr, \$1.50 for next subsequent 30min from 8am to 6pm",\$5.50/entry from 6pm to 8am the following day,Charges same as weekdays,\$5.50/entry from 8am to 8am the following day,1.3071373,103.8325097
Selegie Complex,"257 Selegie Road, S(188350)",*Building Demolished*,*Building Demolished*,*Building Demolished*,*Building Demolished*,1.3040690000000001,103.850206
Sembawang Shopping Centre,"604 Sembawang Road, S(758459)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 11.59pm","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 11.59pm","\$1.50 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 11.59pm","\$1.50 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 11.59pm",1.4418121000000002,103.82495970000001
Sentosa - Beach Station,Beach View Road,\$0.02/min from 7am to 5pm,\$2.40/entry from 5.01pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,1.297204,103.856504
SGX Centre,"2 Shenton Way, S(068804)",\$2.50/30min from 7am to 5pm,\$3.00/entry from 5pm to 10pm,\$3.00/entry from 7am to 10pm,\$3.00/entry from 7am to 10pm,1.2797533,103.8500756
Shangri-La Hotel,"22 Orange Grove Road, S(258350)","\$6.00 for 1st hr, \$2.00 for next subsequent 30min from 7am to 6pm",\$8.00/entry from 6pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,1.311266,103.82678100000001
Shaw Centre,"1 Scotts Road, S(228208)","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 3am to 5.59pm",\$4.00/entry from 6pm to 3am the following day,Charges same as weekdays,Charges same as weekdays,1.3060341999999998,103.8321119
Shaw House,"350 Orchard Road, S(238868)","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 3am to 6pm",\$4.00/entry from 6pm to 3am the following day,Charges same as weekdays,Charges same as weekdays,1.3057331,103.8314536
Shaw Plaza,"352 Balestier Road, S(329780)","\$1.04 for 1st hr, \$0.53 for next subsequent 30min from 8am to 4.59pm",\$1.55/entry from 5pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays,1.3246621,103.851106
Shaw Towers,"100 Beach Road, S(189702)","\$1.07 for 1st hr, \$1.07 for next subsequent 30min from 12midnight to 5pm",\$2.20/entry from 5pm to 12midnight the following day,\$2.14/entry from 12midnight to 12midnight the following day,\$2.14/entry from 12midnight to 12midnight the following day,1.2966205,103.85689090000001
Shenton House,"3 Shenton Way, S(068805)",\$3.00/30min from 7am to 5pm,\$3.00/entry from 5pm to 7am the following day,"Charges same as weekdays, but \$3.00/entry after 2pm",\$3.00/entry from 8am to 8am the following day,1.2786461,103.85013149999999
Sheraton Towers Singapore,"39 Scotts Road, S(228230)","\$4.00 for 1st hr, \$2.00 for next subsequent 30min from 7am to 6pm",\$6.00/entry from 6pm to 7am the following day,Charges same as weekdays,\$6.00/entry from 7am to 7am the following day,1.3119218000000001,103.8364038
Singapore Institute of Architects (SIA),"79 Neil Road, S(088904)",HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,1.279189,103.842117
