Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude,Longitude,Coord,Latitude_rad,Longitude_rad,Coord_rad
Hougang 1,"1 Hougang Street 91, S(538692)","\$1.34 for 1st hr, \$0.81 for next subsequent 30min from 7am to 5pm","\$1.34 for 1st hr, \$0.81 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.3759108999999998,103.87933,"(1.3759108999999998, 103.87933000000001)",0.024014175419078444,1.8130363332657211,"(0.024014175419078444, 1.8130363332657211)"
ICA Building,"10 Kallang Road, S(208718)",\$0.80/30min from 8am the 5pm,"\$0.60/30min from 5pm to 7am the following day, Parking charges capped at \$5.00 from 10.30pm to 7am the following day",Charges same as weekdays,"\$0.60/30min from 7am to 10.30pm the following day, Parking charges capped at \$5.00 from 10.30pm to 7am the following day",1.306686,103.862452,"(1.306686, 103.862452)",0.022805972989714627,1.8127417565945696,"(0.022805972989714627, 1.8127417565945696)"
IKEA Alexandra,"317 Alexandra Road, S(159965)",\$1.50/30min from 8am to 5pm,\$1.50/30min from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,1.288155,103.805666,"(1.2881549999999999, 103.805666)",0.022482546026027554,1.8117506539255321,"(0.022482546026027554, 1.8117506539255321)"
IMM Building,"2 Jurong East Street 21, S(609601)","1st 2hr free \$1.07 for 3rd hr, \$0.30 for next subsequent 15min","1st 2hr free, \$1.07 for 3rd hr, \$0.30 for next subsequent 15min","\$1.07 for 1st 2hr, \$1.07 for 3rd hr, \$0.30 for next subsequent 15min","\$1.07 for 1st 2hr, \$1.07 for 3rd hr, \$0.30 for next subsequent 15min",1.3351706,103.746408,"(1.3351706000000001, 103.746408)",0.023303123045828204,1.8107164067173853,"(0.023303123045828204, 1.8107164067173853)"
Institute Of Mental Health (IMH),"10 Buangkok View, S(539747)",Free Parking,Free Parking,Free Parking,Free Parking,1.3821973,103.8847294,"(1.3821973000000001, 103.88472940000001)",0.02412389379717582,1.8131305705733534,"(0.024123893797175819, 1.8131305705733534)"
Inter-continental Singapore Hotel,"80 Middle Road,S(88966)","\$1.60 for 1st hr, \$0.40 for next subsequent 10min from 8am to 5pm, \$2.50/entry from 5pm to 8am the following day from Mon to Thurs","\$1.60 for 1st hr, \$0.40 for next subsequent 10min from 8am to 5pm, \$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 5pm to 8am the following day on Fri","\$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 8am to 8am the following day","\$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 8am to 8am the following day",1.2994296,103.8556695,"(1.2994296000000001, 103.85566949999999)",0.02267932491787291,1.812623379638053,"(0.02267932491787291, 1.8126233796380531)"
International Building,"360 Orchard Road, S(238869)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use,1.3061673,103.8310102,"(1.3061673, 103.83101020000001)",0.02279691996688453,1.812192993661816,"(0.02279691996688453, 1.812192993661816)"
Grand Copthorne Waterfront Hotel,"392 Havelock Road, S(169663)","\$3.75 for 1st hr, \$2.14 for next subsequent hr from 7am to 5pm",\$4.28/entry from 5pm to 7am the following day,Charges same as weekdays,\$4.28/entry from 7am to 7am the following day,1.2903334,103.8352006,"(1.2903334, 103.83520059999999)",0.022520566278453,1.8122661299387914,"(0.022520566278452999, 1.8122661299387914)"
Chijmes (Valet Parking),"30 Victoria Street, S(187996)",Not Applicable,"\$4.00/entry for Valet charge, Additional \$4.00/hr for carpark charges applies from 6.00pm to 7.59am the following day",Charges same as weekdays,Charges same as weekdays,1.2953653,103.852459,"(1.2953653000000001, 103.852459)",0.022608389501084104,1.8125673458424176,"(0.022608389501084104, 1.8125673458424176)"
Chinatown Point,"133 New Bridge Road, S(059413)",\$1.20/30min from 7.01am to 5pm,\$2.50/entry from 5.01pm to 7am the following day,Charges same as weekdays,\$2.50/entry from 7.01am to 7am the following day,1.2853620000000001,103.84502109999998,"(1.2853619999999999, 103.84502109999998)",0.022433798980019355,1.8124375299979834,"(0.022433798980019355, 1.8124375299979834)"
Cineleisure Orchard,"8 Grange Road, S(239695)","\$2.40 for 1st hr, \$1.40 for next subsequent 30min from 7am to 5.59pm","\$4.50 for 1st 3hr, \$1.60 for next subsequent 30min from 6pm to 6.59am the following day","\$4.50 for 1st 3hr, \$1.60 for next subsequent 30min from 7am to 7.59am the following day","\$4.50 for 1st 3hr, \$1.60 for next subsequent 30min from 8am to 7.59am the following day",1.3015317,103.8364047,"(1.3015317, 103.8364047)",0.02271601348407908,1.812287145448315,"(0.022716013484079079, 1.8122871454483149)"
City Bayview Hotel,"30 Bencoolen Street, S(189621)","\$2.40 for 1st hr, \$1.20 for next subsequent 30min from 7am to 5pm","\$3.00/entry from 5pm to 11pm, \$4.00/entry from 11pm to 7am the following day",Charges same as weekdays,"\$3.00/entry from 7am to 11pm, \$4.00/entry from 11pm to 7am the following day",1.2985316999999998,103.8503005,"(1.2985316999999998, 103.8503005)",0.02266365360651925,1.8125296729105136,"(0.02266365360651925, 1.8125296729105136)"
Clarke Quay,"3 River Valley Road, S(179019)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 7am to 12.29pm","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 1.30pm to 6.59am the following dayto a maximum of \$6.42 from 1.30pm to 6.59am the following day","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 7am to 6.59am the following day",\$2.68/entry from 7am to 6.59am the following day,1.2902865,103.844957,"(1.2902864999999999, 103.84495699999999)",0.02251974771903381,1.812436411241933,"(0.022519747719033811, 1.8124364112419331)"
Clifford Centre,"24 Raffles Place, S(048621)",\$5.00/hr from 7am to 5pm \$2.50/30mins,\$3.00/entry from 5pm to 11pm,Charges same as weekdays,Charges same as weekdays,1.2837597,103.8523004,"(1.2837597000000001, 103.8523004)",0.02240583356941465,1.8125645777502242,"(0.022405833569414651, 1.8125645777502242)"
Compass One,"1 Sengkang Square, S(545078)","\$1.40 for 1st 1hr, \$0.70 for next subsequent 30min from 7am to 11pm","\$1.40 for 1st 1hr, \$0.70 for next subsequent 30min from 7am to 11pm",Charges same as weekdays,Charges same as weekdays,1.3922141,103.8951203,"(1.3922141000000001, 103.8951203)",0.024298719937689586,1.8133119259905988,"(0.024298719937689586, 1.8133119259905988)"
Concorde Shopping Centre,"317 Outram Road, S(169075)",\$1.93/hr from 7am to 5pm,\$3.85/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.85/entry from 7am to 7am the following day,1.2889661000000001,103.8341897,"(1.2889660999999999, 103.8341897)",0.022496702391590483,1.8122484864053832,"(0.022496702391590483, 1.8122484864053832)"
Conrad Centennial Singapore (Basement Car Park),"2 Temasek Boulevard, S(038982)","\$3.30 for 1st hr, \$1.10 for next subsequent 30min from 7am to 6pm",\$2.20/entry from 6pm to 7am the following day,"\$2.20 for 1st 2hr, \$1.10 for next subsequent hr from 7am to 7am the following day","\$2.20 for 1st 2hr, \$1.10 for next subsequent hr from 7am to 7am the following day",1.2935074,103.8587987,"(1.2935074, 103.85879870000001)",0.0225759630289113,1.8126779944810063,"(0.022575963028911301, 1.8126779944810063)"
Copthorne King's Hotel,"403 Havelock Road, S(169632)","\$4.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 12midnight","\$4.00 for 1st hr, \$2.00 for next subsequent 30min from 12midnight to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.2882649,103.8366582,"(1.2882648999999999, 103.8366582)",0.022484464142875495,1.8122915698579687,"(0.022484464142875495, 1.8122915698579687)"
Copthorne Orchid Hotel,"214 Dunearn Road, S(299526)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use,1.3241209999999999,103.824148,"(1.3241210000000001, 103.82414799999999)",0.023110271144799834,1.8120732256778855,"(0.023110271144799834, 1.8120732256778855)"
CPF Building Robinson Road,"79 Robinson Road, S(068897)","\$1.50/30min for the 1st 2hr, \$2.00/30min thereafter from 6am to 6pm","Car Park closed after 5pm, vehicle remaining from 5pm onward will be charged an additional flat rate of \$5.00",Closed,Closed,1.277478,103.8481197,"(1.2774780000000001, 103.8481197)",0.02229619722179212,1.812491610770186,"(0.02229619722179212, 1.8124916107701861)"
CPF Tampines Building Car Park,"1 Tampines Central 5, S(529508)",Private Car Park,Private Car Park,Private Car Park,Private Car Park,1.3531219,103.9436755,"(1.3531218999999999, 103.9436755)",0.023616432335841462,1.8141593740995632,"(0.023616432335841462, 1.8141593740995632)"
Grand Park Orchard,"270 Orchard Road, S(238857)","\$3.50 for 1st hr, \$1.50/subsequent 30min from 8am to 5pm daily including Public Holidays",\$5.00/entry from 5pm to 8am the following day daily including Public Holidays,Same Charges as Weekdays,Same Charges as Weekdays,1.3032438999999998,103.8362719,"(1.3032438999999998, 103.8362719)",0.022745897011531725,1.8122848276510681,"(0.022745897011531725, 1.8122848276510681)"
OUE Downtown 1,"6 Shenton Way, S(068809)",*,*,*,*,1.2767434,103.8482644,"(1.2767434, 103.84826440000001)",0.02228337603310697,1.8124941362616138,"(0.022283376033106969, 1.8124941362616138)"
OUE Downtown 2,"6 Shenton Way, S(068809)",\$2.57/30min from 8am to 6pm,\$2.57/entry from 6pm to 11pm,"\$2.57/30min or part thereof from 6am to 1pm, \$2.57/entry from 1pm to 11pm",\$2.57/entry from 6am to 11pm,1.2767434,103.8482644,"(1.2767434, 103.84826440000001)",0.02228337603310697,1.8124941362616138,"(0.022283376033106969, 1.8124941362616138)"
Delfi Orchard,"402 Orchard Road, S(238876)","\$3.64 for 1st hr, \$2.35 for next subsequent 30min from 8am to 6pm",\$5.35/entry from 6pm to 11pm,Charges same as weekdays,\$5.35/entry from 8am to 11pm,1.3071536,103.8286012,"(1.3071535999999999, 103.82860119999999)",0.02281413414929695,1.8121509486801353,"(0.02281413414929695, 1.8121509486801353)"
Parkway East Hospital,"321 Joo Chiat Place, S(427990)","\$2.80 for 1st hr, \$1.40 for next subsequent 30min from 8am to 5pm","\$2.80 for 1st hr, \$1.40 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,1.3151883999999998,103.9090274,"(1.3151883999999998, 103.90902740000001)",0.022954367864036186,1.8135546506750029,"(0.022954367864036186, 1.8135546506750029)"
Eastgate ,"46 East Coast Road, S(428766)","\$1.20 for 1st hr, \$1.00 for next subsequent 30min from 8am to 6pm",\$2.50/entry from 6pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,1.3043754,103.9033514,"(1.3043753999999999, 103.90335140000001)",0.022765645412018046,1.8134555857866599,"(0.022765645412018046, 1.8134555857866599)"
Eastpoint Mall,"3 Simei Street 6, S(528833)","\$1.20 for 1st hr, \$0.30 for next subsequent 15min from 7am to 5pm","\$1.20 for 1st hr, \$0.30 for next subsequent 15min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.3427285,103.9530112,"(1.3427285, 103.95301120000001)",0.02343503328536468,1.8143223128025416,"(0.023435033285364681, 1.8143223128025416)"
Elias Mall,"625 Elias Road, S(510625)",\$0.60/30min from 8am to 5pm,\$1.10/entry from 5pm to 8am the following day,Charges same as weekdays,\$1.10/entry from 8am to 8am the following day,1.3785415,103.9419543,"(1.3785415000000001, 103.94195429999999)",0.02406008805038141,1.814129333492478,"(0.024060088050381411, 1.814129333492478)"
Elizabeth Hotel,"24 Mount Elizabeth, S(228518)","\$4.00 for 1st hr, \$2,00 for next subsequent 30min from 7am to 6pm",\$5.00/entry from 6pm to 7am the following day,Charges same as weekdays,\$5.00/entry from 7am to 7am the following day,1.307903,103.83551,"(1.307903, 103.83551)",0.022827213646711395,1.8122715299874972,"(0.022827213646711395, 1.8122715299874972)"
Eminent Plaza,"195 Lavender Street, S(338758)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use,1.3132513000000001,103.8602435,"(1.3132512999999999, 103.86024350000001)",0.02292055909109581,1.8127032109980392,"(0.022920559091095812, 1.8127032109980392)"
Eng Cheong Tower,"5611 North Bridge Road, S(198782)",Season Parking Only,Season Parking Only,Season Parking Only,Season Parking Only,1.3061798999999998,103.863981,"(1.3061798999999998, 103.86398100000001)",0.02279713987837028,1.8127684426788324,"(0.02279713987837028, 1.8127684426788324)"
Environment Building,"40 Scotts Road, S(228231)",Private Car Park,Private Car Park,Private Car Park,Private Car Park,1.3105921,103.8362663,"(1.3105921, 103.83626629999999)",0.022874147295626777,1.8122847299126301,"(0.022874147295626777, 1.8122847299126301)"
Esplanade Mall,"8 Raffles Avenue, S(039802)",\$2.20/hr from 6am to 6pm everyday inclusive of Public Holidays,"\$6.50/entry from 6pm to 10pm, \$2.20/entry from 10pm to 6am the following day everyday inclusive of Public Holidays",Charges same as Weekdays,Charges same as Weekdays,1.2897273999999999,103.8562673,"(1.2897274000000001, 103.8562673)",0.022509989583185914,1.8126338132163216,"(0.022509989583185914, 1.8126338132163216)"
Euro-Asia Centre,"15 Hoe Chiang Road, S(089316)","\$2.20 for 1st hr, \$1.10 for next subsequent 30min from 8am to 5pm",\$2.00/entry from 5pm to 8am the following day,\$2.00/entry from 8am to 1pm only,\$2.00/entry from 8am to 1pm only,1.2738038999999999,103.8421553,"(1.2738039000000001, 103.8421553)",0.022232072079744595,1.8123875123522801,"(0.022232072079744595, 1.8123875123522801)"
Far East Plaza,"14 Scotts Road, S(228213)",\$1.07/30min from 8am to 5pm,\$3.53/entry from 5pm to 8am the following day,Charges same as weekdays,\$3.53/entry from 8am to 8am the following day,1.3071502000000002,103.8337132,"(1.3071502000000002, 103.83371320000001)",0.022814074808102384,1.8122401699114976,"(0.022814074808102384, 1.8122401699114976)"
Far East Shopping Centre,"545 Orchard Road, S(238882)","\$2.40 for 1st hr, \$1.20 for next subsequent 30min from 8am to 6pm","\$3.50/entry from 6pm to 12midnight, \$5.00/entry from 12midnight to 8am the following day",Charges same as weekdays,"\$4.50/entry from 8am to 12midnight, \$5.00/entry from 12midnight to 8am the following day",1.3055172,103.8299217,"(1.3055171999999999, 103.8299217)",0.022785573581417314,1.8121739957529082,"(0.022785573581417314, 1.8121739957529082)"
Far East Square,"42 Pekin Street, S(048772)",\$2.14/30min from 6am to 4.59pm,\$3.21/entry from 5pm to 5.59am the following day,\$3.21/entry from 6am to 6am the following day,\$3.21/entry from 6am to 6am the following day,1.2831469,103.8488132,"(1.2831469, 103.8488132)",0.022395138191758427,1.8125037146285485,"(0.022395138191758427, 1.8125037146285485)"
Far Eastern Bank Building,"156 Cecil Street, S(069544)",\$2.50/30min from 7am to 6pm,\$3.20/entry from 6.30pm to 7am,"\$2.50/30min from 7am to 1pm, \$3.20/entry from 1pm to 7am",Closed,1.2799539,103.8481934,"(1.2799539, 103.8481934)",0.02233940982874225,1.8124928970778447,"(0.022339409828742249, 1.8124928970778447)"
First Commercial Bank,"76 Shenton Way, S(079119)","\$2.00 for 1st hr, \$1.00 for next subsequent 30min from 8am to 5pm","\$2.00 for 1st hr, \$1.00 for next subsequent 30min from 5pm to 8am the following day","Charges same as weekdays, Car Park closes at 2pm",Closed,1.273423,103.8455344,"(1.273423, 103.84553440000001)",0.02222542412062375,1.8124464887730343,"(0.022225424120623751, 1.8124464887730343)"
Fortune Centre,"190 Middle Road, S(188979)",\$3.22/hr from 7am to 5pm,\$3.21/entry from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,1.300376,103.852234,"(1.300376, 103.852234)",0.022695842713913783,1.8125634188516007,"(0.022695842713913783, 1.8125634188516007)"
Forum The Shopping Mall,"583 Orchard Road, S(238884)","\$2.40 for 1st hr, \$1.20 for subsequent 30min from 6am to 5pm",\$3.20/entry from 5pm to 6am the following day,"\$2.60 for 1st hr, \$1.40 for subsequent 30min from 6am to 5pm, \$3.20/entry from 5pm to 6am the following day",\$3.20/entry from 6am to 6am the following day,1.3060889,103.8286962,"(1.3060889, 103.82869620000001)",0.022795551628750965,1.8121526067429248,"(0.022795551628750965, 1.8121526067429248)"
Four Seasons Hotel,"190 Orchard Boulevard, S(248646)","\$6.00 for 1st hr, \$3.00 for next subsequent 30min from 6am to 6pm",\$6.00/entry from 6pm to 6am the following day,Charges same as weekdays,Charges same as weekdays,1.3052671999999998,103.8286683,"(1.3052671999999998, 103.82866829999999)",0.022781210258287325,1.8121521197960637,"(0.022781210258287325, 1.8121521197960637)"
Fu Lu Shou Complex,"149 Rochor Road, S(188425)",\$1.20/30min from 8am to 5pm,\$2.20/entry from 5pm to 11pm,Charges same as weekdays,Charges same as weekdays,1.3014678,103.8544724,"(1.3014678, 103.85447240000001)",0.022714898218687055,1.8126024863015775,"(0.022714898218687055, 1.8126024863015775)"
Fuji Xerox Towers,"80 Anson Road, S(079907)",\$2.20/30min from 7am to 6pm,\$3.50/entry from 6pm to 11pm,\$3.50/entry from 7am to 11pm,\$3.50/entry from 7am to 11pm,1.2732056,103.843637,"(1.2732056, 103.843637)",0.022221629774829915,1.812413372895807,"(0.022221629774829915, 1.812413372895807)"
Funan DigitaLife Mall,"109 North Bridge Road, S(179097)",Carpark closed,Carpark closed,Carpark closed,Carpark closed,1.2914065,103.8500426,"(1.2914065000000001, 103.85004259999999)",0.02253929540665615,1.8125251717063724,"(0.022539295406656151, 1.8125251717063724)"
Furama City Centre Singapore,"60 Eu Tong Sen Street, S(059804)",\$1.70/30min from 5.59am to 6pm,\$3.21/entry from 6pm to 5.59am the following day,Charges same as weekdays,\$3.21/entry from 5.59am to 6am the following day,1.286551,103.844618,"(1.286551, 103.84461800000001)",0.022454550944825565,1.8124304945757688,"(0.022454550944825565, 1.8124304945757688)"
Gateway @ 150 Beach Rd,"150 Beach Road, S(189720)",\$2.80/hr from 7am to 6pm,\$2.10/entry from 6pm to 7am the following day,"\$2.80/hr from 7am to 1pm, \$2.10/entry from 1pm to 7am the following day",\$2.10/entry from 7am to 7am the following day,1.2984391000000002,103.8588035,"(1.2984391000000002, 103.85880350000001)",0.022662037431631907,1.8126780782568104,"(0.022662037431631907, 1.8126780782568104)"
West Coast Plaza,"154 West Coast Road, S(127371)","\$1.34/hr, \$1.00 for subsequent 30min from 7am to 5pm","\$1.34/hr, \$1.00 for subsequent 30min from 5pm to 7am the following day","\$1.61/hr, \$1.00 for subsequent 30min from 7am to 7am the following day","\$1.61/hr, \$1.00 for subsequent 30min from 7am to 7am the following day",1.3038431,103.7662917,"(1.3038431000000001, 103.7662917)",0.022756355024409678,1.811063442749864,"(0.022756355024409678, 1.811063442749864)"
Gleneagles Hospital,"6A Napier Road, S(258500)","\$2.00 for the 1st 30min, \$0.80 for next subsequent 15min from 7am to 5pm","\$2.00 for the 1st 30min, \$0.80 for next subsequent 15min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.3075821,103.8199264,"(1.3075821000000001, 103.81992640000001)",0.022821612885141746,1.8119995448581834,"(0.022821612885141746, 1.8119995448581834)"
Goldbell Towers,"47 Scotts Road, S(228233)","\$4.00 for 1st hr, \$2.00 for next subsequent 30min from 8am to 5pm",\$5.00/entry from 5pm to 8am the following day,"\$4.00 fro 1st hr, \$2.00 for next subsequent 30min from 8am to 1pm, \$5.00/entry from 1pm to 8am the following day",\$5.00/entry from 8am to 8am the following day,1.3122129999999999,103.83718,"(1.3122130000000001, 103.83718)",0.02290243733747235,1.8123006769860057,"(0.02290243733747235, 1.8123006769860057)"
Landmark Village Hotel,"390 Victoria Street, S(188061)","\$1.90 for 1st hr, \$1.07 for next subsequent 30min from 8am to 5pm",\$2.14/entry from 5pm to 8am the following day,Charges same as weekdays,\$2.14/entry from 8am to 8am the following day,1.3020357,103.857782,"(1.3020357, 103.857782)",0.022724809943509134,1.8126602497185014,"(0.022724809943509134, 1.8126602497185014)"
Golden Mile Complex,"5001 Beach Road, S(199588)","\$2.20 for 1st hr, \$1.10 for next subsequent 30min from 7.01am to 6pm",\$2.90/entry from 6.01pm to 7am the following day,Charges same as weekdays,\$2.90/entry from 7.01am to 7am the following day,1.3027906,103.8653773,"(1.3027906, 103.86537729999999)",0.022737985434032437,1.8127928127111783,"(0.022737985434032437, 1.8127928127111783)"
Golden Shoe Complex,"50 Market Street, S(048940)",\$5.20/hr from 7am to 5pm,\$3.30/entry from 5pm to 7am the following day,"\$5.20/hr from 7am to 1pm, \$3.30/entry from 1pm to 7am the following day",\$3.30/entry from 7am to 7am the following day,1.284342,103.850119,"(1.2843420000000001, 103.85011899999999)",0.022415996621649014,1.8125265051379211,"(0.022415996621649014, 1.8125265051379211)"
Goldhill Plaza,"1 Goldhill Plaza, S(308899)","\$1.60 for 1st hr, \$1.00 for next subsequent 30min from 7am to 5.30pm",\$2.00/entry from 5.30pm to 12midnight the following day,"\$1.00/hr from 7am to 5.30pm, \$2.00/entry from 5.30pm to 7am the following day","\$1.00/hr from 7am to 5.30pm, \$2.00/entry from 5.30pm to 7am the following day",1.3181533,103.8428522,"(1.3181533000000001, 103.8428522)",0.02300611513102857,1.812399675551837,"(0.023006115131028571, 1.812399675551837)"
Goodwood Park Hotel,"22 Scotts Road, S(228221)","\$5.35 for 1st hr, \$2.50 for next subsequent 30min from 8am to 6pm",\$5.35/entry from 6pm to 8am the following day,Charges same as weekdays,\$6.42/entry from 8am to 7.59am the following day,1.3087182,103.83444140000002,"(1.3087181999999999, 103.83444140000002)",0.02284144157077365,1.8122528793991108,"(0.022841441570773651, 1.8122528793991108)"
Bright Vision Hospital,"5 Lorong Napiri, S(547530)",Free Parking,Free Parking,Free Parking,Free Parking,1.3715565,103.8777937,"(1.3715565000000001, 103.8777937)",0.023938176802129608,1.8130095197724228,"(0.023938176802129608, 1.8130095197724228)"
Bukit Panjang Plaza,"1 Jelebu Road, S(677743)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min or part thereof from 12midnight to 5.59pm",\$2.57/entry from 6pm to 11.59pm,"\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min or part thereof from 12midnight to 6pm, \$2.57/entry from 6pm to 11.59pm","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min or part thereof from 12midnight to 6pm, \$2.57/entry from 6pm to 11.59pm",1.3800277,103.7643646,"(1.3800277000000001, 103.76436459999999)",0.02408602713372455,1.8110298085098488,"(0.024086027133724552, 1.8110298085098488)"
Bukit Timah Plaza (Multi-Storey Car Park),"1 Jalan Anak Bukit, S(588996)",\$1.40/hr from 7.30am to 5pm,\$2.40/entry from 5.01pm to 7.30am the following day,Charges same as weekdays,"\$2.40 for the 1st 3hr, \$1,40 for the next subsequent hr from 7.30am to 7.30am the following day",1.3386026000000002,103.7785976,"(1.3386026000000002, 103.7785976)",0.02336302274575665,1.811278221222285,"(0.023363022745756652, 1.8112782212222851)"
Bukit Timah Shopping Centre,"170 Upper Bukit Timah Road, S(588179)",\$1.50/hr from 7am to 7pm,\$2.80/entry from 7pm to 7am the following day,Charges same as weekdays,\$3.00/entry from 7am to 7am the following day,1.3431856000000002,103.7761252,"(1.3431856000000002, 103.7761252)",0.02344301118537555,1.8112350697018589,"(0.023443011185375551, 1.8112350697018589)"
Burlington Square,"175 Bencoolen Street, S(189649)",\$0.04/min from 7am to 4.49pm,\$2.20/entry from 5pm to 6.59am the following day,"\$3.20 for 1st 3hrs, \$1.80 for next subsequent 30min from 7am to 4.59pm, \$2.20/entry from 5pm to 6.59am the following day","\$3.20 for 1st 3hrs, \$1.80 for next subsequent 30min from 7am to 4.59pm, \$2.20/entry from 5pm to 6.59am the following day",1.3021864,103.8526703,"(1.3021863999999999, 103.8526703)",0.02272744015469189,1.8125710337231273,"(0.022727440154691889, 1.8125710337231273)"
Cairnhill Art Centre,"126 Cairnhill Road, S(229707)",HDB parking rates from 8am to 6pm,"Free parking at night, Sunday and PH",Charges same as weekdays,Free Parking,1.3079889999999998,103.837527,"(1.3079889999999998, 103.83752700000001)",0.02282871462986811,1.8123067332785099,"(0.022828714629868109, 1.8123067332785099)"
Cairnhill Place,"15 Cairnhill Road, S(229650)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use,1.303694,103.836831,"(1.3036940000000001, 103.836831)",0.022753752738494955,1.8122945857869162,"(0.022753752738494955, 1.8122945857869162)"
Capital Square,"23 Church Street, S(049481)",\$2.40/30min from 8am to 6pm,\$3.20/entry from 6pm to 8am,\$3.20/entry from 8am to 8am the following day,\$3.20/entry from 8am to 8am the following day,1.2839173000000002,103.848842,"(1.2839173000000002, 103.848842)",0.022408584208315794,1.8125042172833732,"(0.022408584208315794, 1.8125042172833732)"
Capital Tower,"168 Robinson Road, S(068912)",\$2.80/30min from 7am to 5.59pm,\$3.70/entry from 6pm to 6.59am the following day,"\$2.80/30min from 7am to 12.59pm, \$3.70/entry from 1pm to 6.59am the following day",\$3.70/entry from 7am to 6.59am the following day,1.2777366,103.8476215,"(1.2777366000000001, 103.8476215)",0.022300710643237777,1.8124829155398525,"(0.022300710643237777, 1.8124829155398525)"
Capitol Centre,"141 North Bridge Road, S(179099)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use,1.292875,103.851386,"(1.292875, 103.85138600000001)",0.022564925566721687,1.812548618459544,"(0.022564925566721687, 1.8125486184595441)"
CapitaCommercial Trust (CCT),"39 Robinson Road, S(068911)",\$2.05/30min from 8am to 5pm,\$3.10/entry from 5pm to 8am the following day,"Charges same as weekdays, \$3.10/entry after 1pm",\$3.10/entry,1.2796201,103.8494984,"(1.2796201, 103.8494984)",0.022333583919699092,1.8125156736245833,"(0.022333583919699092, 1.8125156736245833)"
Carlton Hotel,"76 Bras Basah Road, S(189558)","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 6pm",\$6.00/entry from 6pm to 7am the following day on Mon to Sat and eve of PH,Charges same as weekdays,Charges same as weekdays,1.2961790000000002,103.8526175,"(1.2961790000000002, 103.85261750000001)",0.022622591245207584,1.812570112189282,"(0.022622591245207584, 1.8125701121892821)"
Causeway Point,"1 Woodlands Square, S(738099)","\$1.20 for 1st hr, \$0.60 for next subsequent 30min from 7am to 7am the following day","\$1.20 for 1st hr, \$0.60 for next subsequent 30min from 7am to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.436078,103.7860612,"(1.436078, 103.78606120000001)",0.02506428941545513,1.8114084856163373,"(0.025064289415455129, 1.8114084856163373)"
Central Mall,"1 & 3 Magazine Road, S(059567)","\$2.40 for 1st hr, \$1.20 for next subsequent 30min from 7am to 5pm",\$3.60/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.60/entry from 7am to 7am the following day,1.2924739,103.8565218,"(1.2924739000000001, 103.8565218)",0.02255792505109194,1.8126382550792677,"(0.022557925051091939, 1.8126382550792677)"
The Centrepoint,"176 Orchard Road, S(238843)","\$1.50 for 1st hr, \$1.00 for next subsequent 30min from 7am to 5pm","\$1.50 for 1st hr, \$1.00 for next subsequent hr from 5pm to 7am the following day",Charges same as weekdays,"\$1.50 for 1st hr, \$1.00 for next subsequent hr from 7am to 7am the following day",1.3019593999999999,103.8398305,"(1.3019594000000001, 103.83983050000001)",0.022723478257289858,1.8123469369378298,"(0.022723478257289858, 1.8123469369378298)"
Orchard Building,"1 Grange Road, S(239693)","\$2.20 for 1st hr, \$1.20 for next subsequent 30min from 6.30am to 6pm",\$4.00/entry from 6pm to 1am the following day,Charges same as weekdays,"\$3.60 for 1st 3hr, \$1.20 for next subsequent 30min, \$4.00/entry from 6pm to 1am the following day",1.3013914,103.837259,"(1.3013914, 103.837259)",0.022713564787138533,1.8123020557961147,"(0.022713564787138533, 1.8123020557961147)"
