,Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude,Longitude
353,Kaki Bukit Autohub,"2 Kaki Bukit Avenue 2,  S(417921)",\$0.50/30min from 7.01am to 10.30pm,\$5.00/entry from 10pm to 6.59am the following day,\$5.00/entry from 7am to 6.59am the following day,\$5.00/entry from 7am to 6.59am the following day,1.3372746000000002,103.9006795
354,CES Centre,"171 Chin Swee Road, S(169877)",\$2.80/hr from 7am to 9.59pm,"\$1.00 for 1st hr, \$0.25 for next subsequent 15min form 6pm to 10pm, \$0.32 for 1st hr, \$0.08 for next subsequent 15min from 10pm to 6am the following day","\$0.48 for 1st hr, \$0.12 for next subsequent 15min from 6am to 10am, \$1.00 for 1st hr, \$0.25 for next subsequent 15min from 10am to 9pm, \$0.48 for 1st hr from 9pm to 6am","\$0.48 for 1st hr, \$0.12 for next subsequent 15min from 6am to 10am, \$1.00 for 1st hr, \$0.25 for next subsequent 15min from 10am to 9pm, \$0.48 for 1st hr from 9pm to 6am",1.2867901000000002,103.840128
355,Katong Square ,"86 East Coast Road, S(428788)","\$0.48 for 1st hr, \$0.12 for next subsequent 15min from 6am to 10am, \$0.96 for 1st hr, \$0.24 for next subsequent 15min from 10am to 6pm","\$1.00 for 1st hr, \$0.25 for next subsequent 15min form 6pm to 10pm, \$0.32 for 1st hr, \$0.08 for next subsequent 15min from 10pm to 6am the following day","\$0.48 for 1st hr, \$0.12 for next subsequent 15min from 6am to 10am, \$1.00 for 1st hr, \$0.25 for next subsequent 15min from 10am to 9pm, \$0.48 for 1st hr from 9pm to 6am","\$0.48 for 1st hr, \$0.12 for next subsequent 15min from 6am to 10am, \$1.00 for 1st hr, \$0.25 for next subsequent 15min from 10am to 9pm, \$0.48 for 1st hr from 9pm to 6am",1.3051239,103.9043237
356,Hotel Indigo Singapore Katong,"86 East Coast Road, S(428788)","\$0.94 for 1st hr, \$0.12 for next subsequent 15min from 6am to 10am, \$0.96 for 1st hr, \$0.24 for next subsequent 15min from 10am to 6pm","\$1.00 for 1st hr, \$0.25 for next subsequent 15min form 6pm to 10pm, \$0.32 for 1st hr, \$0.08 for next subsequent 15min from 10pm to 6am the following day","\$0.48 for 1st hr, \$0.12 for next subsequent 15min from 6am to 10am, \$1.00 for 1st hr, \$0.25 for next subsequent 15min from 10am to 9pm, \$0.48 for 1st hr from 9pm to 6am","\$0.48 for 1st hr, \$0.12 for next subsequent 15min from 6am to 10am, \$1.00 for 1st hr, \$0.25 for next subsequent 15min from 10am to 9pm, \$0.48 for 1st hr from 9pm to 6am",1.3051239,103.9043237
357,Holiday Inn Express Singapore Katong ,"86 East Coast Road, S(428788)","\$0.96 for 1st hr, \$0.24 for next subsequent 15min from 10am to 6pm","\$5.25 for 1st hr, \$2.14 for subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,1.3051239,103.9043237
358,Mercure Singapore Bugis,"112 Middle Road, S(188973)","\$5.25 for 1st hr, \$2.25 for subsequent 30min from 8am to 5pm","\$3.40/entry from 5pm to 1.59am the following day, \$2.90/hr from 2am to 6.59am",\$2.50/entry from 7am to 6.59am the following day,\$2.50/entry from 7am to 6.59am the following day,1.2990794,103.8537523
359,Tanjong Pagar Centre,"5 Wallich Street, S(078883)",\$2.90/30min from 7am to 4.59pm,"\$2.00/entry from 5pm to 12midnight, \$3.00/hr from 12midnight to 6am the following day","\$1.00/30min from 6am to 2pm, \$2.00/entry from 2pm to 12midnight, \$3.00/hr from 12midnight to 6am the following day","\$2.00/entry from 6am to 12midnight, \$3.00/hr from 12midnight to 6am the following day",1.2766643999999998,103.8458171
360,18 Tai Seng,"18 Tai Seng Street, S(539775)",\$1.00/30min from 6am to 5pm,\$2.14/entry from 10pm to 6.59am the following day,Charges same as weekdays,"\$0.018/min from 7am to 9.59pm, \$2.14/entry from 10pm to 6.59am the following day",1.3365878999999998,103.8888008
361,National Heart Centre Singapore,"5 Hospital Drive, S(169609)",\$0.036/min from 7am to 9.59pm,"\$7.00 for 1st hr, \$3.50 for next subsequent 30min from 6pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,1.27834,103.835838
362,Regent Hotel (Cuscaden Parking),"1 Cuscaden Road, S(249715)","\$7.00 for 1st hr, \$3.50 for next subsequent 30min from 7am to 6pm",\$3.00/hr from 12midnight to 11.59pm from Mon to Thurs,\$4.00/hr from 12midnight to 11.59pm the from Fri to Sun,\$4.00/hr from 12midnight to 11.59pm the from Fri to Sun,1.3046722,103.8248342
363,Genting Hotel Jurong,"2 Town Hall Link, S(608516)",\$3.00/hr from 12midnight to 11.59pm from Mon to Thurs,\$2.15 per entry from 5.01pm to 7.00am the following day,Charges same as weekdays,\$3.25 per entry from 7.01am to 7.00am the following day,1.331365,103.739439
364,UB. One,81 Ubi Ave 4,\$0.70/30min or part thereof from 7.01am to 5.00pm,"\$6.00 for 1st hr, \$4.50 for next subsequent hour",Charges same as weekdays,Charges same as weekdays,1.333724,103.8919483
