Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude_rad,Longitude_rad,Coord_rad
Lee Kong Chian Reference Library (National Library Board),"100 Victoria Street, S(188064)","\$1.07 for 1st 30min, \$0.035/min from 7am to 7pm",\$0.017/min from 7pm to 11.30pm,Charges same as weekdays,\$0.017/min from 7am to 11.30pm,0.02264587742808769,1.8125931365727745,"(0.022645877428087689, 1.8125931365727745)"
National Skin Centre,"1 Mandalay Road, S(308205)","\$2.20 for 1st hr, \$0.10 for next subsequent 5min from 8am to 5pm",Carpark closed,Carpark closed,Carpark closed,0.023039621962008358,1.8125092560489238,"(0.023039621962008358, 1.8125092560489238)"
National University Hospital (NUH),"5 Lower Kent Ridge Road, S(119074)",\$0.035/min from 12midnight to 12midnight the following day,\$0.035/min from 12midnight to 12midnight the following day,Charges same as weekdays,Charges same as weekdays,0.022588244910857584,1.8113508967323384,"(0.022588244910857584, 1.8113508967323384)"
Negara Hotel,"10 Claymore Road, S(229540)","\$5.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 5pm",\$5.00/entry from 5pm to 7am the following day,Charges same as weekdays,\$5.00/entry from 7am to 7am the following day,0.022822040490808482,1.8121774707034488,"(0.022822040490808482, 1.8121774707034488)"
Northpoint Shopping Centre,"930 Yishun Avenue 2, S(769098)","\$1.20 for 1st hr, \$0.80 for next subsequent 30min from 7am to 7pm","\$1.20 for 1st hr, \$0.80 for next subsequent 30min from 7pm to 1am the following day",Charges same as weekdays,Charges same as weekdays,0.024950970423110893,1.812280768015228,"(0.024950970423110893, 1.812280768015228)"
Novena Gardens,"273 Thomson Road, S(307644)","\$2.40 for 1st hr, \$0.90 for next subsequent 30min from 7am to 5pm","\$2.40 for 1st hr, \$0.90 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,0.023043337767985853,1.8123851683750947,"(0.023043337767985853, 1.8123851683750947)"
Velocity @ Novena Square,"238 Thomson Road, S(307683)","\$1.60 for 1st hr, \$0.50 for next subsequent 15min from 6am to 6pm",\$2.50/entry from 6pm to 6am the following day,"\$2.50 for 1st 3hr, \$0.50 for next subsequent 15min from 6am to 6pm, \$2.50/entry from 6pm to 6am the following day","\$2.50 for 1st 3hr, \$0.50 for next subsequent 15min from 6am to 6pm, \$2.50/entry from 6pm to 6am the following day",0.023038040693706054,1.8124172091295028,"(0.023038040693706054, 1.8124172091295028)"
Novena Villa,"275 Thomson Road, S(307645)","\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 8am to 5pm","\$1.00 for 1st hr, \$0.60 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,0.023056272403072384,1.8123796810599262,"(0.023056272403072384, 1.8123796810599262)"
"National Cancer Centre, Singapore (NCCS)","11 Hospital Drive, S(169610)",HDB parking rates from 8.30am to 10pm,Free parking from 10pm to 8.30am the following day,Charges same as weekdays,Charges same as weekdays,0.022328634165940435,1.8122905593123317,"(0.022328634165940435, 1.8122905593123317)"
M Hotel,"81 Anson Road, S(079908)",\$2.50/30min from 7am to 6pm,\$5.80/entry from 6pm to 7am the following day,"\$2.50/30min from 7am to 1pm, \$5.80/entry after 1pm to 7am the following day",\$5.80/entry from 7am to 7am the following day,0.022231459469177147,1.8124382612909402,"(0.022231459469177147, 1.8124382612909402)"
Marina Mandarin Hotel,"6 Raffles Boulevard, S(039594)","\$2.20 for 1st 2hr, \$1.10 for next subsequent 30min from 7am to 5pm from Mon to Thurs","\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun",0.02253999877434471,1.812661928725242,"(0.022539998774344708, 1.8126619287252419)"
Marina Square,"6 Raffles Boulevard, S(039594)","\$2.20/hr for 1st 2hr, \$1.10 for next subsequent 30min from 7am to 5pm from Mon to Thurs","\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs","\$2.40/hr for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","\$2.40/hr for 1st 2hr, \$1.20 for next subsequent 2hr, \$1.40/30min from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun",0.02253999877434471,1.812661928725242,"(0.022539998774344708, 1.8126619287252419)"
Manulife Centre,"51 Bras Basah Road, S(189554)","\$2.40 for 1st hr, \$1.45 for next subsequent 30min from 7.01am to 5.00pm",\$2.90/entry from 5.01pm to 7.00am the following day,Charges same as weekdays,\$2.90/4hr block from 7.01am to 7.00am the following day,0.022652671994865703,1.8125271840710002,"(0.022652671994865703, 1.8125271840710002)"
Peninsula Plaza,"111 North Bridge Road, S(179098)",Season Parking Only,Season Parking Only,Season Parking Only,Season Parking Only,0.022555095872374455,1.8125384746059314,"(0.022555095872374455, 1.8125384746059314)"
People's Park Centre,"101 Upper Cross Street, S(058357)",\$1.61/30min from 7am to 5pm,\$2.68/entry from 5.01pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,0.022441380690290016,1.8124197468382353,"(0.022441380690290016, 1.8124197468382353)"
OCBC Centre,"65 Chulia Street, S(049513)",\$2.20/30min from 6am to 6pm,"\$3.30/entry from 6pm to 12midnight, \$3.30/hr from 12midnight to 6am the following day","\$3.30/entry from 6am to 12midnight, \$3.30/hr from 12midnight to 6am the following day","\$3.30/entry from 6am to 12midnight, \$3.30/hr from 12midnight to 6am the following day",0.02243554779992985,1.812510928074347,"(0.022435547799929852, 1.812510928074347)"
OCBC Tampines Centre 2,"31 Tampines Avenue 4, S(529680)",Private Car Park,Private Car Park,Private Car Park,Private Car Park,0.023598476388496943,1.8141372363433308,"(0.023598476388496943, 1.8141372363433308)"
Odeon Katong Shopping Centre,"11 East Coast Road, S(428722)",\$1.20/hr from 8am to 5pm,\$2.50/entry from 5pm to 8am the following day,Charges same as weekdays,\$2.50/entry from 8am to 8am the following day,0.02276873988078183,1.813431130233181,"(0.022768739880781829, 1.8134311302331809)"
Orchard Point,"160 Orchard Road, S(238842)","\$2.00 for 1st 1hr, \$1.50 for next subsequent 30min from 8am to 9.59pm","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 10pm to 7.59am the following day",Charges same as weekdays,Charges same as weekdays,0.02271488076539454,1.812359601046882,"(0.022714880765394539, 1.8123596010468821)"
Fullerton Hotel,"1 Fullerton Square, S(049178)",\$1.07/10min from 7.01am to 6pm,"\$5.00/entry from 6.01pm to 12midnight, Additional \$7.00/entry from 12.01am to 7am the following day","\$5.00/entry from 7.01am to 12midnight the following day, Additional \$7.00/entry from 12.01am to 7am the following day","\$5.00/entry from 7.01am to 12midnight the following day, Additional \$7.00/entry from 12.01am to 7am the following day",0.022451041087699807,1.8125775385652494,"(0.022451041087699807, 1.8125775385652494)"
Claymore Connect,"442 Orchard Road, S(238879)","\$3.00 for 1st hr or part thereof, \$1.50 for next subsequent 30min from 7am to 6pm",\$5.50/entry from 6pm to 7am the following day,Charges same as weekdays,\$5.50/entry from 7am to 7am the following day,0.02282275433047255,1.812149171934957,"(0.022822754330472549, 1.8121491719349569)"
Orchard Parade Hotel,"1 Tanglin Road, S(247905)","\$5.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 6pm",\$5.00/entry from 6pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,0.022804985133357998,1.8121346717395312,"(0.022804985133357998, 1.8121346717395312)"
Orchard Plaza,"150 Orchard Road, S(238841)",\$1.39/30min from 7am to 5pm,"\$3.85 for 1st 3hr, \$1.39 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,0.022707168155429974,1.8123690851660375,"(0.022707168155429974, 1.8123690851660375)"
Orchard Towers,"400 Orchard Road, S(238875)",\$5.00/hr from 7am to 5.59pm,"\$9.00/entry from 6pm to 1.59am the following day, \$9.00/entry from 2am to 6.59am the following day",Charges same as weekdays,"\$9.00/entry from 7am to 1.59am the following day, \$9.00/entry from 2am to 6.59am the following day",0.022810945432753558,1.8121607818651413,"(0.022810945432753558, 1.8121607818651413)"
Oriental Plaza,"291 New Bridge Road, S(088756)","\$2.30 for 1st hr, \$1.50 for next subsequent 30min from 8am to 5pm",\$2.50/entry from 5pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays,0.022372764816077112,1.812385081108632,"(0.022372764816077112, 1.8123850811086319)"
Mandarin Oriental Singapore,"5 Raffles Avenue, S(039797)",Valet parking at \$15.00 per entry,Valet parking at \$15.00 per entry,Charges same as weekdays,Charges same as weekdays,0.022526144350742374,1.8126700218169833,"(0.022526144350742374, 1.8126700218169833)"
Novotel Clarke Quay,"177A River Valley Road, S(179031)",\$1.28/hr from 7am to 6pm,\$3.28/entry from 6pm to 7am the following day,Charges same as weekdays but \$3.21/entry after 1pm,Charges same as weekdays but \$3.28/entry from 1pm to 7am the following day,0.022542787810489393,1.812437200130755,"(0.022542787810489393, 1.8124372001307549)"
NTUC Income Centre,"75 Bras Basah Road, S(189557)",\$1.10/30min from 7am to 5pm,"\$2.14/entry from 5pm to 11pm, Car Park closed after 11pm daily",Charges same as weekdays,"\$2.14/entry from 7am to 11pm, Car Park closed after 11pm daily",0.022627338540773007,1.8125521091180479,"(0.022627338540773007, 1.8125521091180479)"
NTUC Income Tampines Point,"2 Tampines Central 6, S(529483)","\$1.50/hr for 1st hr, \$0.75 for next subsequent 30min from 6am to 6pm",\$2.50/entry from 6pm to 6am the following day,Charges same as weekdays,\$2.50/entry from 6am to 6am the following day,0.023608253722966616,1.8141380147601773,"(0.023608253722966616, 1.8141380147601773)"
NTUC Prinsep House,"30 Prinsep Street, S(188647)",\$1.25/30min from 7am to 5.59pm,"\$2.80/entry from 6pm to 11.59pm, \$5.00/entry from 12midnight to 6.59am the following day",Charges same as weekdays,Charges same as weekdays,0.022672785169165686,1.8125154432411221,"(0.022672785169165686, 1.8125154432411221)"
NUS Car Park 3B - Kent Vale,Kent Ridge Crescent,Carpark closed,Carpark closed,Carpark closed,Carpark closed,0.022653235736214097,1.8111835789982664,"(0.022653235736214097, 1.8111835789982664)"
NUS Car Park 2A - In front of Block E3A,Engineering Drive 1,"*\$0.0214/min from 8.30am to 7.30pm, maximum charge of \$1.284 for vehicles entering from 6pm to 7.30pm",*Free parking from 7.31pm to 8.29am the following day,"*\$0.0214/min up to a maximum charge of \$2.568 from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",*Free parking whole day from 8.30am to 8.29am the following day,0.022698122113916887,1.8111548927666807,"(0.022698122113916887, 1.8111548927666807)"
Costa Sands Resort (Downtown East),"1 Pasir Ris Close, S(519599)","\$0.024/min from 12.01am to 4.59pm, maximum charge of \$12.50/day from Mon to Thurs (except School/Public Holidays and Eve of Public Holidays)","\$2.40/entry from Mon to Thurs, \$3.40/entry on Fri to Sun and eve of public holidays from 5pm to 12midnight","\$0.024/min from 12.01am to 4.59pm, maximum charge of \$16/day from Fri to Sun, eve of public holidays and gazette School Holidays","\$0.024/min from 12.01am to 4.59pm, maximum charge of \$16/day from Fri to Sun, eve of public holidays and gazette School Holidays",0.024046345327851208,1.8143539940191238,"(0.024046345327851208, 1.8143539940191238)"
Plaza Singapura,"68 Orchard Road, S(238839)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm the following day on Mon to Fri","\$2.57/entry from 6pm to 11.59pm from Mon to Thur, \$2.57/entry from 6pm to 2.59am the following day on Fri and Eve of PH","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm",0.02270309281162657,1.8124371198456095,"(0.022703092811626569, 1.8124371198456095)"
PARKROYAL on Beach Road,"7500A Beach Road, S(199591)","\$2.50 for 1st hr, \$3.00 for next subsequent hr from 7am to 5pm",\$2.50/entry from 5pm to 7am the following day,"\$2.50 for 1st hr, \$3.00 for next subsequent hr from 7am to 1pm, \$2.50/entry from 1pm to 7am the following day",\$2.50/entry from 7am to 7am the following day,0.022685903063823672,1.8127105745421535,"(0.022685903063823672, 1.8127105745421535)"
One Raffles Place,"1 Raffles Place, S(048616)",\$3.00/30min from 7am to 5pm,\$3.75/entry from 5pm to 7am the following day,\$3.75/entry from 7am to 7am the following day,\$3.75/entry from 7am to 7am the following day,0.022417050800517216,1.8125415638387072,"(0.022417050800517216, 1.8125415638387072)"
East Coast Park (Carpark E1),East Coast Park Service Road,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,0.022816708509943644,1.8139141047251097,"(0.022816708509943644, 1.8139141047251097)"
Pacific Plaza,"9 Scotts Road, S(228210)",\$1.50/30min from 8am to 6pm,"\$3.00 for 1st 2hr, \$1.00 for next subsequent 30min from 6pm to 8am the following day",Charges same as weekdays,"\$3.00 for 1st 2hr, \$1.00 for next subsequent 30min from 8am to 8am the following day",0.022803847178685697,1.812211361506864,"(0.022803847178685697, 1.812211361506864)"
Palais Renaissance,"390 Orchard Road, S(238871)","\$3.85 for 1st hr, \$1.95 for subsequent 30min from 7.01am to 5pm","\$4.60/entry from 5.01pm to 1am the following day, \$1.80/hr from 1.01am to 7am",Charges same as Weekdays,"\$4.60/4hr from 7.01am to 1am the following day, \$1.80/hr from 1.01am to 7am",0.02280868174071372,1.812167721294247,"(0.02280868174071372, 1.8121677212942471)"
Pan Pacific Hotel,"7 Raffles Boulevard, S(039595)","\$2.20 for 1st 2hr, \$1.10/30min from 7am to 5pm from Mon to Thurs","\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min after the 4th hr from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min after the 4th hr from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun",0.022554978935314576,1.8126744200466984,"(0.022554978935314576, 1.8126744200466984)"
PoMo,"1 Selegie Road, S(188306)","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 5.59pm",\$3.50/entry from 6pm to 6.59am the following day,Charges same as weekdays,\$3.50/entry from 7am to 6.59am the following day,0.022693008299208544,1.8125098442248817,"(0.022693008299208544, 1.8125098442248817)"
Paragon,"290 Orchard Road, S(238859)","\$2.90 for 1st hr, \$1.50 for next subsequent 30min from 3am to 6.59pm",\$4.50/entry from 7pm to 2.59am the following day,Charges same as weekdays,"\$2.90 for 1st hr, \$1.50 for next subsequent 30min from 3am to 5.59pm, \$4.50/entry from 6pm to 2.59am the following day",0.02275780713834734,1.8122729437041913,"(0.022757807138347338, 1.8122729437041913)"
Paramount Hotel,"25 Marine Parade, S(449536)",\$1.07/hr from 8am to 5pm,\$1.07/hr from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,0.02275561675013608,1.8134485486191156,"(0.022755616750136081, 1.8134485486191156)"
Paramount Shopping Centre,"30 East Coast Road, S(428751)",\$0.50/30min,\$2.00/entry,\$2.00/entry,\$2.00/entry,0.022755389857333327,1.8134486603201878,"(0.022755389857333327, 1.8134486603201878)"
Bugis Junction,"200 Victoria Street, S(180021)","\$1.60 for 1st hr, \$0.40 for next subsequent 10min from 8am to 5pm","\$2.70/entry from 5pm to 8am the following day from Mon to Thurs, \$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 5pm to 8am the following day on Fri","\$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 8am to 8am the following day","\$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 8am to 8am the following day",0.022682278014967285,1.8126235297363689,"(0.022682278014967285, 1.8126235297363689)"
Park Mall,"9 Penang Road, S(238459)",Carpark closed,Carpark closed,Carpark closed,Carpark closed,0.022652197265309162,1.8124407780557217,"(0.022652197265309162, 1.8124407780557217)"
Parklane,"35 Selegie Road, S(188307)","\$3.20 for 1st hr, \$1.60 for next subsequent 30min from 7am to 7pm",\$3.75/entry from 7pm to 12midnight. Additional Overnight Charge at \$3.75/entry from 12midnight to 7am the following day,Charges same as weekdays,\$3.75/entry from 7am to 12midnight,0.02270135446369158,1.8125130189787908,"(0.022701354463691582, 1.8125130189787908)"
Parkview Square,"600 North Bridge Road, S(188778)","\$2.14/hr, \$1.07 for next subsequent 30min from 7am to 5pm",\$5.35/4hr from 5pm to 7am the following day,Charges same as weekdays but \$5.35/4hr from 1pm to 7am the following day,\$5.35/4hr from 7am to 7am the following day,0.022692142615899556,1.8126592042662795,"(0.022692142615899556, 1.8126592042662795)"
Parkway Parade,"80 Marine Parade Road, S(449269)","\$1.00 for 1st hr, \$0.40 for subsequent 30min from 2am to 6pm",\$1.50/entry from 6pm to 2am the following day,"\$0.50 for 1st hr, \$0.40 for next subsequent 15min from 2am to 10am, \$1.30 for 1st hr, \$0.40 subsequent 15min from 10am to 6pm, \$2.10/entry from 6pm to 2am the following day","\$0.50 for 1st hr, \$0.40 for next subsequent 15min from 2am to 10am, \$1.30 for 1st hr, \$0.40 subsequent 15min from 10am to 6pm, \$2.10/entry from 6pm to 2am the following day",0.022713859747782117,1.81348937187032,"(0.022713859747782117, 1.81348937187032)"
New Parliament House,"1 Parliament Place, S(178880)",\$1.13/30min from 8.01am to 6pm,\$2.06/entry from 6.01pm to 8am the following day,Charges same as weekdays,\$2.06/entry from 8am to 7.59am the following day,0.022498814239985395,1.8125390418379381,"(0.022498814239985395, 1.8125390418379381)"
Eunos Technolink,"3 Kaki Bukit Road 1, S(415935)",\$1.07/hr from 8am to 5pm,\$1.07/hr from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,0.023294007191145036,1.8134253549386858,"(0.023294007191145036, 1.8134253549386858)"
Peace Centre,"1 Sophia Road, S(228149)",\$1.39/30min from 7am to 7pm,\$1.50/30min from 7pm to 7am the following day,"\$1.39/30min from 7am to 7pm, \$4.28/entry from 7pm to 7am the following day",\$4.28/entry from 7am to 7am the following day,0.022712480937673044,1.8125103276810843,"(0.022712480937673044, 1.8125103276810843)"
Pearl's Centre,"100 Eu Tong Sen Street, S(059812)",Carpark closed,Carpark closed,Carpark closed,Carpark closed,0.022366842913925097,1.8123581681315664,"(0.022366842913925097, 1.8123581681315664)"
Peninsula Excelsior Hotel,"5 Coleman Street, S(179805)","\$3.00 for 1st hr, \$1.80 for next subsequent 30min from 8am to 5pm",\$4.00/entry from 5pm to 8am the following day,Charges same as weekdays,"\$1.50/hr from 8am to 5pm, \$4.00/entry from 5pm to 8am the following day",0.022549920971142296,1.8125220161510849,"(0.022549920971142296, 1.8125220161510849)"
Peninsula Hotel,"3 Coleman Street, S(179804)","\$2.60 for 1st hr, \$1.50 for next subsequent 30min from 8am to 5pm",\$3.00/entry from 5pm to 8am the following day,Charges same as weekdays,\$1.50/hr from 8am to 8am the following day,0.022547629353834427,1.8125253305313345,"(0.022547629353834427, 1.8125253305313345)"
Market Street Car Park,"146 Market Street, S(048945)",Carpark closed,Carpark closed,Carpark closed,Carpark closed,0.022371829319598045,1.8125263986728368,"(0.022371829319598045, 1.8125263986728368)"
Singapore Marriott Hotel,"320 Orchard Road, S(238865)","\$3.00 for 1st hr, \$0.05/min from 6am to 6pm","\$3.00 for 1st hr, \$0.05/min from 6pm to 6am the following day",Charges same as weekdays,Charges same as weekdays,0.02277529533745232,1.8122301395042864,"(0.022775295337452321, 1.8122301395042864)"
MAS Building,"10 Shenton Way, S(079117)",Season Parking Only,Season Parking Only,Season And Tenant Parking Only,Season And Tenant Parking Only,0.022249766227701317,1.812467106347488,"(0.022249766227701317, 1.812467106347488)"
Mediacorp,"Andrew Road, S(299939)",\$1.07/hr up to a maximum charge of \$6.42/day from 7am to 6pm,\$2.14/entry from 6pm to 7.00am the following day,Charges same as weekdays,Charges same as weekdays,0.023325215423499947,1.8122319982799397,"(0.023325215423499947, 1.8122319982799397)"
Merchant Square,"1 Angus Street, S(058275)",Season Parking Only,Season Parking Only,Season Parking Only,Season Parking Only,0.022487874516233897,1.812411295953997,"(0.022487874516233897, 1.8124112959539971)"
Mandarin Gallery,"330 Orchard Road, S(238867)","\$3.60 for 1st hr, \$0.06 for next subsequent min from 6am to 6pm","\$3.60 for 1st hr, \$0.04/min from 6pm to 6am the following day",Charges same as weekdays,Charges same as weekdays,0.0227506861949992,1.8122579617978922,"(0.0227506861949992, 1.8122579617978922)"
Midlink Plaza,"122 Middle Road, S(188973)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use,0.022683415969639582,1.812577627577041,"(0.022683415969639582, 1.8125776275770411)"
Midpoint Orchard,"220 Orchard Road, S(238852)",No Car Park,No Car Park,No Car Park,No Car Park,0.0227191358781109,1.8123277644959963,"(0.022719135878110901, 1.8123277644959963)"
Millenia Walk (Surface Car Park),"9 Raffles Boulevard, S(039596)","\$4.40 for 1st hr, \$1.65 for subsequent 30min from 7am to 6pm","\$4.40 for 1st 2hr, \$1.65 for subsequent hr from 6pm to 7am the following day","\$4.40 for 1st 2hr, \$1.65 for subsequent hr from 7am to 7am the following day","\$4.40 for 1st 2hr, \$1.65 for subsequent hr from 7am to 7am the following day",0.02256238087667228,1.8126885065990914,"(0.02256238087667228, 1.8126885065990914)"
Miramar Hotel,"401 Havelock Road, S(169631)","\$2.68 for 1st hr, \$1.07 for next subsequent 30min from 7am to 5pm",\$3.75/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.75/entry from 7am to 7am the following day,0.02248542581929335,1.812305368431035,"(0.022485425819293348, 1.8123053684310351)"
Mount Alvernia Hospital,"820 Thomson Road, S(574623)","\$2.40 for 1st hr, \$1.30 for next subsequent 30min from 7am to 10pm",\$5.00/entry from 10pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,0.023420718094839824,1.8123141997970502,"(0.023420718094839824, 1.8123141997970502)"
Mount Elizabeth Hospital,"3 Mount Elizabeth, S(228510)","\$2.50/30min from 6.30am to 8am, \$3.30/30min from 8am to 11am, \$3.00/30min from 11am to 6.30pm",\$4.00/entry from 6.30pm to 6.30am,Charges same as weekdays,\$4.00/entry from 6.30am to 6.30am the following day,0.022777407185847233,1.8122701057988275,"(0.022777407185847233, 1.8122701057988275)"
Mustafa Centre,"145 Syed Alwi Road, S(207704)","1st hr free, \$1.00 for next subsequent 30min from 7am to 7am the following day","1st hr free, \$1.00 for next subsequent 30min from 7am to 7am the following day",Charges same as weekdays,Charges same as weekdays,0.022865377016135502,1.8126180825637732,"(0.022865377016135502, 1.8126180825637732)"
Nanyang Academy Of Fine Arts (NAFA),"80 Bencoolen Street, S(189655)",\$1.07/30min from 7am to 9.59pm,\$2.14/entry from 10pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,0.022685946697054975,1.8125463809474427,"(0.022685946697054975, 1.8125463809474427)"
International Plaza,"10 Anson Road, S(079903)",\$2.20/30min from 7am to 5pm,\$3.00/entry from 5pm to 7am the following day,"\$2.20/30min from 7am to 3pm, \$3.00/entry after 3pm to 7am the following day",\$3.00/entry from 7am to 7am the following day,0.02226516177703316,1.8124512954097942,"(0.022265161777033159, 1.8124512954097942)"
Jelita Cold Storage,"293 Holland Road, S(278628)","1st hr free, \$1.60/hr for next subsequent hr onwards","1st hr free, \$1.60/hr for next subsequent hr onwards",Charges same as weekdays,Charges same as weekdays,0.022995819433771058,1.8114053230797327,"(0.022995819433771058, 1.8114053230797327)"
Joo Chiat Complex,"1 Joo Chiat Road, S(420001)",\$0.50/30min from 7am to 7pm,\$0.50/30min from 7pm to 10:30pm,Charges same as weekdays,Charges same as weekdays,0.022962965355931515,1.8133773828188657,"(0.022962965355931515, 1.8133773828188657)"
Junction 8 (Basement Car Park),"9 Bishan Place, S(579837)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm the following day from Mon to Fri & Eve of PH","\$2.57/entry from 6pm to 11.59pm from Mon to Thurs, \$2.57/entry from 6pm to 2.59am the following day on Fri & Eve of PH","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm, \$0.43 for next subsequent 15min from 12midnight to 2.59am",0.023571113116484174,1.812501590562849,"(0.023571113116484174, 1.812501590562849)"
Junction 8 (Multi-Storey Car Park),"514 Bishan Street 13, S(570514)",\$0.60/30min from 7am to 9pm,\$0.60/30min from 9pm to 7am the following day,"\$0.60/30min from 7am to 3pm, \$0.60/30min from 3pm to 7am the following day",\$0.60/30min from 7am to 7am the following day,0.023564655398251796,1.81252086074312,"(0.023564655398251796, 1.81252086074312)"
JCube,"2 Jurong East Central 1, S(609731)","\$1.30 for 1st hr, \$0.40 for next subsequent 15min from 3.30am to 5.59pm",\$2.50/entry from 6pm to 3.29am the following day,Charges same as weekdays,Charges same as weekdays,0.023270227080086615,1.8106078210579724,"(0.023270227080086615, 1.8106078210579724)"
Jurong Point Shopping Centre,"1 Jurong West Central 2, S(648886)","\$1.07 for 1st 2hr, \$1.07 for next subsequent hr from 7am to 5pm","\$2.14 for 1st 2hr, \$1.07 for next subsequent hr from 5pm to 9pm, \$1.07 for 1st 3hr, \$1.07 for next subsequent hr from 9pm to 7am the following day","\$2.14 for 1st 2hr, \$1.07 for next subsequent hr from 7am to 9pm, \$1.07 for 1st 3hr, \$1.07 for next subsequent hr from 9pm to 7am the following day","\$2.14 for 1st 2hr, \$1.07 for next subsequent hr from 7am to 9pm, \$1.07 for 1st 3hr, \$1.07 for next subsequent hr from 9pm to 7am the following day",0.023375912002282624,1.8100004621862418,"(0.023375912002282624, 1.8100004621862418)"
KK Women's and Children's Hospital ,"100 Bukit Timah Road, S(229899)",\$0.047/min from 6am to 6pm,\$2.40/entry from 6pm to 6am the following day,\$2.40/entry from 6am to 6am the following day,\$2.40/entry from 6am to 6am the following day,0.022874546976025478,1.8124691989972612,"(0.022874546976025478, 1.8124691989972612)"
112 Katong,"112 East Coast Road, S(428802)","(6am-9.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min, (10am-5.59pm) \$1.07 for 1st hr, \$0.27 for subsequent 15min","(6pm-10.59pm) \$1.28 for 1st 30min, \$0.65 for subsequent 15min, (11pm-5.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min","(6am-9.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min (10am-10.59pm) \$1.28 for 1st 30min, \$0.65 for subsequent 15min (11pm-5.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min","(6am-9.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min (10am-10.59pm) \$1.28 for 1st 30min, \$0.65 for subsequent 15min (11pm-5.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min",0.022779325302695174,1.8134855338912947,"(0.022779325302695174, 1.8134855338912947)"
Katong Plaza,"1 Brooke Road, S(429979)","\$1.50 for 1st hr, \$0.80 for next subsequent 30min from 6am to 6pm","\$1.00 for 1st hr, \$0.50 for next subsequent 30min from 6pm to 6am the following day",Charges same as weekdays,Charges same as weekdays,0.02276268358827741,1.8134645253630883,"(0.022762683588277412, 1.8134645253630883)"
