Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday,Latitude_rad,Longitude_rad,Coord_rad
Chijmes (Basement Car Park),"30 Victoria Street, S(187996)",\$0.55/15min from 8am to 5.59pm,(Sun to Thurs) \$2.20/hr from 6.00pm to 7.59am the following day (capped at \$4.00),"\$2.20 for 1st 2hr, \$0.40 for next subsequent 15min from 8am to 5.59pm, \$2.20/hr from 6pm to 7.59am the following day (capped at \$6.00)","\$2.20 for 1st 2hr, \$0.40 for next subsequent 15min from 8am to 5.59pm, \$2.20/hr from 6pm to 7.59am the following day (capped at \$6.00)",0.022608389501084104,1.8125673458424176,"(0.022608389501084104, 1.8125673458424176)"
Bras Basah Complex,"231 Bain Street, S(180231)","\$1.20/30min from 7am the 10am, \$1.40/30min from 10am to 10.30pm",\$0.60/30m from 10.30pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,0.022634251789940153,1.812586005157451,"(0.022634251789940153, 1.8125860051574509)"
28 Maxwell Rd,"28 Maxwell Road, S(069120)","\$2.60 for 1st hr, \$0.55 for next subsequent 15min from 7am to 4.59pm",\$3.60/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.60/entry from 7am to 7am the following day,0.02230963974769098,1.8124480700413363,"(0.022309639747690981, 1.8124480700413363)"
The Bencoolen,"180 Bencoolen Street, S(189646)",\$1.20/30min from 6am to 5pm,"\$1.20/hr from 5pm to 11pm, \$3.00/entry from 11pm to 6am the following day",Charges same as weekdays,"\$1.20/hr from 6am to 11pm, \$3.00/entry from 11pm to 6am the following day",0.02272008010123623,1.8125798458905205,"(0.022720080101236231, 1.8125798458905205)"
Beach Centre,"15 Beach Road, S(189677)","\$1.50 for 1st 30min, \$1.20 for next subsequent 30min from 8am to 5pm",\$3.00/entry from 5pm to 8am,Charges same as weekdays,\$3.50/entry from 8am to 8am the following day,0.022617168507221633,1.8126210304248798,"(0.022617168507221633, 1.8126210304248798)"
Bangkok Bank Building,"180 Cecil Street, S(069546)","\$2.00 for 1st 30min, \$4.00 for next subsequent hr from 7am to 7pm","\$2.00 for 1st 30min, \$4.00 for next subsequent hr from 7am to 7pm",Charges same as weekdays but closed after 3pm,Closed,0.022327168089368764,1.812485681886717,"(0.022327168089368764, 1.812485681886717)"
Balestier Point,"279 Balestier Road, S(329727)",\$0.70/hr from 8am to 10pm,\$2.00/entry from 10pm to 8am the following day,Charges same as weekdays,\$2.00/entry from 8am to 8am the following day,0.023086377587340032,1.8125597466788546,"(0.023086377587340032, 1.8125597466788546)"
Balestier Plaza,"400 Balestier Road, S(329802)",\$1.20/hr,\$1.20/hr,Charges same as weekdays,Charges same as weekdays,0.02313850882676785,1.8125310517206226,"(0.023138508826767851, 1.8125310517206226)"
Automobile Megamart (AML),"61 Ubi Avenue 2, S(408898)",\$1.20/hr from 8am to 6pm,"\$1.50/entry from 6pm to 12midnight the following day, \$10.00/entry from 12midnight to 8am",Charges same as weekdays,Charges same as weekdays,0.02324613280976283,1.8134190438281108,"(0.023246132809762829, 1.8134190438281108)"
2HR,"2 Havelock Road, S(059763)",\$1.50/30min from 7am to 4.59pm,\$3.00/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.00/entry from 7am to 7am the following day,0.022464799518193277,1.8124405197469924,"(0.022464799518193277, 1.8124405197469924)"
Hub Synergy,"70 Anson Road, S(079905)",\$2.60/hr from 7am to 6pm,\$1.00/hr from 6pm to 12midnight,"\$1.00/30min from 7am to 2pm, \$1.00/hr from 2pm to 12midnight",\$1.00/hr from 7am to 12midnight,0.0222353550440676,1.8124273547284446,"(0.022235355044067599, 1.8124273547284446)"
Ang Mo Kio Community Hospital,"17 Ang Mo Kio Avenue 9, S(569766)",\$0.86/30min from 7am to 10pm,\$3.10/entry from 10pm to 7am the following day,Charges same as weekdays,\$3.10/entry from 7am to 7am the following day,0.024157679880835926,1.8123563826597415,"(0.024157679880835926, 1.8123563826597415)"
Anchorpoint Shopping Centre,"370 Alexandra Road, S(159953)",\$2.00/hr from 8am to 6.59pm,\$3.00/entry from 7pm to 7.59am,Charges same as weekdays,Charges same as weekdays,0.02249253454533672,1.8117421716253674,"(0.022492534545336718, 1.8117421716253674)"
Amtech Building,"157 Sin Ming Road, S(575624)","\$1.00 for 1st hr, \$2.00 for next subsequent 30min from 8am to 5pm",\$2.00/entry from 5pm to 8am the following day,Charges same as weekdays,\$2.00/entry from 8am to 8am the following day,0.023675848579567102,1.8123139310163452,"(0.023675848579567102, 1.8123139310163452)"
Amara Hotel,"165 Tanjong Pagar Road, S(088539)",\$2.00/30min from 8am to 5pm,\$3.00/entry from 5pm to 7.59am the following day,Charges same as weekdays,\$3.00/entry from 8am to 7.59am the following day,0.022253487269666566,1.8124118684219916,"(0.022253487269666566, 1.8124118684219916)"
Allson Hotel,"101 Victoria Street, S(188018)",\$1.50/30min from 7am to 5pm,\$4.00/entry from 5pm to 7am the following day,Charges same as weekdays,\$4.00/entry from 7am to 7am the following day,0.022643868554118644,1.8125690667370602,"(0.022643868554118644, 1.8125690667370602)"
Alexandra Hospital,"378 Alexandra Road, S(159964)",\$1.80/hr from 7am to 10pm,\$1.60/hr from 10pm to 7am the following day,Charges same as weekdays,\$1.68/hr from 7am to 7am the following day,0.022449035704389265,1.8116662393309302,"(0.022449035704389265, 1.8116662393309302)"
Albert Court Hotel,"180 Albert Street, S(189971)","\$2.50 for 1st hr, \$1.00 for next subsequent 30min from 8am to 6pm",\$3.50/entry from 6pm to 8am the following day,Charges same as weekdays,\$3.50/entry from 8am to 8am the following day,0.02276252650864473,1.8125388865036347,"(0.022762526508644729, 1.8125388865036347)"
Albert Complex,"60 Albert Street, S(189969)",\$1.20/30min from 7am to 11pm daily,\$1.20/30min from 7am to 11pm daily,Charges same as weekdays,Charges same as weekdays,0.02273063759788154,1.8125921242818082,"(0.022730637597881541, 1.8125921242818082)"
AIA (Changi),"160 Changi Road, S(419728)",Private Car Park,Private Car Park,Private Car Park,Private Car Park,0.022982375162542944,1.813438509485258,"(0.022982375162542944, 1.8134385094852581)"
Adam Road Medical Centre ,"19 Adam Road, S(289891)",Free Parking,Free Parking,Free Parking,Free Parking,0.023156478736746387,1.8118848365837545,"(0.023156478736746387, 1.8118848365837545)"
888 Plaza,"888 Woodlands Drive 50, S(730888)","\$1.00/hr from 7am to 12pm, Free Parking from 12pm to 2pm, \$1.00/hr from 2pm to 5pm","\$1.00/entry from 5pm to 12midnight, \$2.00/entry from 12midnight to 7am the following day",Charges same as weekdays,Charges same as weekdays,0.02509512240202086,1.8115696161582104,"(0.025095122402020859, 1.8115696161582104)"
79 Anson Road,"79 Anson Road, S(079906)",\$2.00/30min from 7am to 6pm,\$4.00/entry from 6pm to 7am the following day,"\$2.00/30min from 7am to 1pm, \$4.00/entry from 1pm to 11pm",\$4.00/entry from 7am to 7am the following day,0.022239044670106314,1.8124492533745693,"(0.022239044670106314, 1.8124492533745693)"
51 Bencoolen Street,"51 Bencoolen Street, S(189630)",\$1.00/30min from 7am to 6pm,\$2.00/entry from 6.01pm to 6.59am the following day,Charges same as weekdays,\$2.00/entry from 7am to 7am the following day,0.02267699664865075,1.8125264580140312,"(0.022676996648650749, 1.8125264580140312)"
Queensway Shopping Centre,"1 Queensway, S(149053)","\$1.80 for 1st 1hr, \$1.60 for next subsequent 30min from 8am to 5.59pm",\$3.30/entry from 6pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays,0.022472936243166073,1.8117108237666724,"(0.022472936243166073, 1.8117108237666724)"
Raffles City,"252 North Bridge Road, S(179103)","\$2.20 for 1st hr, \$0.55 for next subsequent 15min from 8am to 5.59pm",\$3.00/entry from 6pm to 7.59am the following day,"\$2.20 for 1st 2hr, \$0.40 for next subsequent 15min from 8am to 7.59am the following day, \$0.60 for next subsequent 15min after the 5th hr","\$2.20 for 1st 2hr, \$0.40 for next subsequent 15min from 8am to 7.59am the following day, \$0.60 for next subsequent 15min after the 5th hr",0.022584764724329107,1.8125834883926695,"(0.022584764724329107, 1.8125834883926695)"
Raffles Hospital,"585 North Bridge Road, S(188770)","\$2.80 for 1st hr, \$1.70 for next subsequent 30min from 8am to 4.59pm",\$2.40/entry from 5.00pm to 7.59am the following day,"\$2.80 for 1st hr, \$1.70 for next subsequent 30min from 8am to 12.59pm, \$2.40 for 1st 2hr, \$0.24 for next subsequent 10min from 1pm to 7.59am the following day","\$2.40 for 1st 2hr, \$0.24 for next subsequent 10min from 8amm to 7.59am the following day",0.022710554094178843,1.812651022162746,"(0.022710554094178843, 1.8126510221627461)"
Raffles Hotel,"1 Beach Road, S(189673)","\$3.00 for 1st 30min, \$1.50 for next subsequent 30min from 12.01am to 6pm",\$6.00/entry from 6.01pm to 12midnight,Charges same as weekdays,\$6.00/entry from 12.01am to 12midnight the following day,0.022604890115933855,1.812599276641083,"(0.022604890115933855, 1.812599276641083)"
Raffles Quay,"1 Raffles Quay, S(048583)",\$1.07/10min from 6am to 6pm,"\$3.21 for 1st 4hr, \$0.27 for next subsequent 10min block or thereof from 6.00pm to 6.00am","\$3.21 for 1st 4hr, \$0.27/hr for next subsequent 10min from 6am to 6am the following day","\$3.21 for 1st 4hr, \$0.27/hr for next subsequent 10min from 6am to 6am the following day",0.022359273420959197,1.8125608252923322,"(0.022359273420959197, 1.8125608252923322)"
ABI Plaza,"11 Keppel Road, S(089057)","\$4.28 for 1st hr, \$2.68 for next subsequent 30min from 8am to 6pm","\$4,28/entry from 6pm to 8am the following day","Charges same as weekdays, \$4.28/entry from 1pm to 8am the following day",\$4.28/entry from 8am to 8am the following day,0.02222182525170614,1.8124004330247327,"(0.022221825251706139, 1.8124004330247327)"
Regency House,"121 Penang Road, S(238464)","\$2.50 for 1st hr, \$1.25 for next subsequent 30min from 8am to 5pm","\$2.50 for 1st hr, \$1.25 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,0.022679778703478426,1.8123851125245585,"(0.022679778703478426, 1.8123851125245585)"
